,raw_ractions,transformed_reactions,automap
0,N(B([H])[H])(C)C>>N(B([H])[H])(C)C.N([H])([H])[H],N(C)(C)B([H])[H]>>N(C)(C)B([H])[H].N([H])([H])[H],[N:1]([CH3:6])([CH3:5])[B:2]([H])[H]>>[N:1]([CH3:6])([CH3:5])[B:2]([H])[H].[N:1]([H])([H])[H]
1,[Ge]([H])([H])(Cl)Cl>>[H][H],[Ge](Cl)(Cl)([H])[H]>>[H][H],[Ge](Cl)(Cl)([H])[H]>>[H][H]
2,[Si](C)(C)(C)C1C=CC=C1.[Zr](Cl)(Cl)(Cl)Cl>>[Zr]12(Cl)(Cl)(Cl)(C3([H])=C14[H])(C3([H])=C25[H])[C@@]45[H],[Si](C1C=CC=C1)(C)(C)C.[Zr](Cl)(Cl)(Cl)Cl>>[Zr]1234([C@]5([H])C1([H])=C2([H])C3(=C45[H])[H])(Cl)(Cl)Cl,[Si]([CH:5]1[CH:9]=[CH:8][CH:7]=[CH:6]1)(C)(C)C.[Zr](Cl)(Cl)(Cl)Cl>>[Zr]1234([C@:5]5([H])[C:9]1([H])=[C:8]2([H])[C:7]3(=[C:6]45[H])[H])(Cl)(Cl)Cl
3,C(=C=O)=C=O.[Sn](C)(C)(C)N(C)C>>C(C(=O)N(C)C)(C(=O)N(C)C)([Sn](C)(C)C)[Sn](C)(C)C,C(=C=O)=C=O.[Sn](N(C)C)(C)(C)C>>C([Sn](C)(C)C)([Sn](C)(C)C)(C(N(C)C)=O)C(N(C)C)=O,C(=[C:4]=[O:5])=C=O.[Sn:6](N(C)C)([CH3:9])([CH3:8])[CH3:7]>>[C:9]([Sn:6]([CH3:7])([CH3:8])[CH3:9])([Sn:6](C)([CH3:7])[CH3:8])([C:4](N(C)C)=[O:5])[C:4](N(C)C)=[O:5]
4,c1(S[Bi](Sc2c(OC)cccc2OC)Sc3c(OC)cccc3OC)c(OC)cccc1OC.c1(Br)ccc(C)cc1>>[Bi](c1ccc(C)cc1)(c2ccc(C)cc2)c3ccc(C)cc3,c1(c(OC)cccc1OC)S[Bi](Sc1c(OC)cccc1OC)Sc1c(OC)cccc1OC.c1(ccc(C)cc1)Br>>[Bi](c1ccc(C)cc1)(c1ccc(C)cc1)c1ccc(C)cc1,[c:1]1([c:32](OC)[cH:31][cH:30][cH:29][c:26]1OC)S[Bi](S[c:1]1[c:32](OC)[cH:31][cH:30][cH:29][c:26]1OC)S[c:1]1[c:32](OC)[cH:31][cH:30][cH:29][c:26]1OC.[c:35]1([cH:42][cH:41][c:39]([CH3:40])[cH:38][cH:37]1)Br>>[Bi]([c:1]1[cH:26][cH:29][c:30](C)[cH:31][cH:32]1)([c:35]1[cH:42][cH:41][c:39]([CH3:40])[cH:38][cH:37]1)[c:35]1[cH:42][cH:41][c:39]([CH3:40])[cH:38][cH:37]1
5,c1(S[Sb](Sc2c(OC)cccc2OC)Sc3c(OC)cccc3OC)c(OC)cccc1OC.c1(Br)ccc(C)cc1>>[Sb](c1ccc(C)cc1)(c2ccc(C)cc2)c3ccc(C)cc3,c1(c(OC)cccc1OC)S[Sb](Sc1c(OC)cccc1OC)Sc1c(OC)cccc1OC.c1(ccc(C)cc1)Br>>[Sb](c1ccc(C)cc1)(c1ccc(C)cc1)c1ccc(C)cc1,[c:1]1([c:32](OC)[cH:31][cH:30][cH:29][c:26]1OC)S[Sb](S[c:1]1[c:32](OC)[cH:31][cH:30][cH:29][c:26]1OC)S[c:1]1[c:32](OC)[cH:31][cH:30][cH:29][c:26]1OC.[c:35]1([cH:42][cH:41][c:39]([CH3:40])[cH:38][cH:37]1)Br>>[Sb]([c:1]1[cH:26][cH:29][c:30](C)[cH:31][cH:32]1)([c:35]1[cH:42][cH:41][c:39]([CH3:40])[cH:38][cH:37]1)[c:35]1[cH:42][cH:41][c:39]([CH3:40])[cH:38][cH:37]1
6,[Fe]12(C#O)(C#O)(C#Cc3ccccc3)([C@@H]45)([CH]4=[CH]16)[CH]5=[CH]26.c1(ccccc1)C(Cl)=NO>>[Fe]12(C#O)(C#O)(c3onc(c4ccccc4)c3c5ccccc5)(C6([H])=C17[H])([C@@]68[H])C7([H])=C28[H],[Fe]1234([CH]5[CH]1=[CH]2[C@H]3[CH]4=5)(C#Cc1ccccc1)(C#O)C#O.c1(C(=NO)Cl)ccccc1>>[Fe]1234(C5([H])[C@]1([H])C2(=C3(C4=5[H])[H])[H])(c1c(-c2ccccc2)c(-c2ccccc2)no1)(C#O)C#O,[Fe]1234([CH]5[CH]1=[CH]2[C@H]3[CH]4=5)(C#Cc1ccccc1)(C#O)C#O.c1(C(=NO)Cl)ccccc1>>[Fe]1234(C5([H])[C@]1([H])C2(=C3(C4=5[H])[H])[H])(c1c(-c2ccccc2)c(-c2ccccc2)no1)(C#O)C#O
7,N(C)(CCCCl)CCCCl.[Ga](C)(Cl)Cl>>[Ga]12(C)N(C)(CCC1)CCC2,N(CCCCl)(CCCCl)C.[Ga](Cl)(Cl)C>>[Ga]12(CCCN1(CCC2)C)C,N(CCCCl)(CCCCl)C.[Ga](Cl)(Cl)C>>[Ga]12(CCCN1(CCC2)C)C
8,[Sn]([H])([H])(CCCC)CCCC.[Sn](=O)(CCCC)CCCC>>[Sn](CCCC)CCCC,[Sn](CCCC)(CCCC)([H])[H].[Sn](CCCC)(CCCC)=O>>[Sn](CCCC)CCCC,[Sn]([CH2:8][CH2:9][CH2:10][CH3:11])([CH2:8][CH2:9][CH2:10][CH3:11])([H])[H].[Sn]([CH2:14][CH2:15][CH2:16][CH3:17])([CH2:14][CH2:15][CH2:16][CH3:17])=O>>[Sn]([CH2:8][CH2:9][CH2:10][CH3:11])[CH2:14][CH2:15][CH2:16][CH3:17]
9,[Sn]([H])([H])(CCCC)CCCC.[Sn](CCCC)(CCCC)(CCCC)O[Sn](CCCC)(CCCC)CCCC>>[Sn](CCCC)(CCCC)([Sn](CCCC)(CCCC)CCCC)[Sn](CCCC)(CCCC)CCCC,[Sn](CCCC)(CCCC)([H])[H].[Sn](O[Sn](CCCC)(CCCC)CCCC)(CCCC)(CCCC)CCCC>>[Sn]([Sn](CCCC)(CCCC)CCCC)([Sn](CCCC)(CCCC)CCCC)(CCCC)CCCC,[Sn:1]([CH2:8][CH2:9][CH2:10][CH3:11])([CH2:4][CH2:5][CH2:6][CH3:7])([H])[H].[Sn:12](O[Sn:12]([CH2:17][CH2:18][CH2:19][CH3:20])([CH2:21][CH2:22][CH2:23][CH3:24])[CH2:13][CH2:14][CH2:15][CH3:16])([CH2:21][CH2:22][CH2:23][CH3:24])([CH2:17][CH2:18][CH2:19][CH3:20])[CH2:13][CH2:14][CH2:15][CH3:16]>>[Sn:1]([Sn:12]([CH2:17][CH2:18][CH2:19][CH3:20])([CH2:21][CH2:22][CH2:23][CH3:24])[CH2:13][CH2:14][CH2:15][CH3:16])([Sn:12]([CH2:21][CH2:22][CH2:23][CH3:24])([CH2:13][CH2:14][CH2:15][CH3:16])[CH2:17][CH2:18][CH2:19][CH3:20])([CH2:8][CH2:9][CH2:10][CH3:11])[CH2:4][CH2:5][CH2:6][CH3:7]
