,raw_ractions,transformed_reactions,automap
0,C(/OC)(\CSCC)=C\C(=O)OC>>N(CCc1ccc(OC)c(OC)c1)(C(=O)CC(=C)C(=O)OC)C(=O)\C=C(\OC)/CS(=O)CC,C(=C/C(OC)=O)(/CSCC)\OC>>N(C(/C=C(\CS(CC)=O)/OC)=O)(C(CC(C(OC)=O)=C)=O)CCc1cc(OC)c(OC)cc1,[C:1](=[CH:8]/[C:9](OC)=[O:10])(/[CH2:4]SCC)\[O:2][CH3:3]>>N([C:9](/[CH:8]=[C:1](\[CH2:4]S(CC)=O)/[O:2][CH3:3])=[O:10])(C(CC(C(OC)=O)=C)=O)CCc1cc(OC)c(OC)cc1
1,C(C)(=NOC)CCCC=NOC>>C(CCC=NOC)C(C)=O,C(CCCC=NOC)(=NOC)C>>C(C(=O)C)CCC=NOC,[C:1]([CH2:6][CH2:7][CH2:8][CH:9]=[N:10][O:11][CH3:12])(=NOC)[CH3:2]>>[CH2:6]([C:1](=O)[CH3:2])[CH2:7][CH2:8][CH:9]=[N:10][O:11][CH3:12]
2,C(Cl)(CC(=O)OCC)C(=O)CC>>[C@@H]1(CC)C([H])=C([H])C(=O)O1,C(C(CC)=O)(CC(OCC)=O)Cl>>[C@@H]1(OC(=O)C([H])=C1[H])CC,C(C(CC)=O)([CH2:3][C:4]([O:6][CH2:7][CH3:8])=[O:5])Cl>>[C@@H:7]1([O:6][C:4](=[O:5])[C:3]([H])=[C:8]1[H])CC
3,C(Cl)(CC(=O)OCC)C(=O)CC>>[C@@H](Cl)(CC(=O)OCC)[C@H](O)CC,C(C(CC)=O)(CC(OCC)=O)Cl>>[C@H]([C@@H](CC)O)(CC(OCC)=O)Cl,[CH:1]([C:9]([CH2:11][CH3:12])=O)([CH2:3][C:4]([O:6][CH2:7][CH3:8])=[O:5])[Cl:2]>>[C@H:1]([C@@H:9]([CH2:11][CH3:12])O)([CH2:3][C:4]([O:6][CH2:7][CH3:8])=[O:5])[Cl:2]
4,C(Cl)(CC(=O)OCC)C(=O)CC>>[C@@H](CC)(OC(C)=O)[C@@H](Cl)CC(=O)OCC,C(C(CC)=O)(CC(OCC)=O)Cl>>[C@H]([C@H](CC(OCC)=O)Cl)(OC(=O)C)CC,[CH:1]([C:9]([CH2:11][CH3:12])=O)([CH2:3][C:4]([O:6][CH2:7][CH3:8])=[O:5])[Cl:2]>>[C@H:9]([C@H:1]([CH2:3][C:4]([O:6][CH2:7][CH3:8])=[O:5])[Cl:2])([O:6][C:4](=[O:5])[CH3:3])[CH2:11][CH3:12]
5,C(Cl)(CC(=O)OCC)C(=O)CC>>[C@@H](CC)(OC(C)=O)[C@@H](Cl)CC(=O)OCC,C(C(CC)=O)(CC(OCC)=O)Cl>>[C@H]([C@H](CC(OCC)=O)Cl)(OC(=O)C)CC,[CH:1]([C:9]([CH2:11][CH3:12])=O)([CH2:3][C:4]([O:6][CH2:7][CH3:8])=[O:5])[Cl:2]>>[C@H:9]([C@H:1]([CH2:3][C:4]([O:6][CH2:7][CH3:8])=[O:5])[Cl:2])([O:6][C:4](=[O:5])[CH3:3])[CH2:11][CH3:12]
6,O(C(C)CCl)C(=O)CC(C)=O>>C1(c2cccc(Cl)c2Cl)C(C(=O)OCC(C)C)=C(C)NC(C)=C1C(=O)OC(C)CCl,O(C(CC(=O)C)=O)C(CCl)C>>C1(C(C(OC(CCl)C)=O)=C(C)NC(C)=C1C(OCC(C)C)=O)c1c(Cl)c(Cl)ccc1,[O:1]([C:6]([CH2:8][C:9](=O)[CH3:10])=[O:7])[CH:2]([CH2:4][Cl:5])[CH3:3]>>[CH:9]1([C:8]([C:6]([O:1][CH:2]([CH2:4][Cl:5])[CH3:3])=[O:7])=C(C)NC(C)=[C:10]1C(OCC(C)C)=O)c1c(Cl)c(Cl)ccc1
7,O(C(C)CCl)C(=O)CC(C)=O>>C1(c2cccc(Cl)c2Cl)C(C(=O)OCC(C)C)=C(C)NC(C)=C1C(=O)OC(C)CN(C)CCC(c3ccccc3)c4ccccc4,O(C(CC(=O)C)=O)C(CCl)C>>C1(C(C(OC(CN(CCC(c2ccccc2)c2ccccc2)C)C)=O)=C(C)NC(C)=C1C(OCC(C)C)=O)c1c(Cl)c(Cl)ccc1,[O:1]([C:6]([CH2:8][C:9](=O)[CH3:10])=[O:7])[CH:2]([CH2:4]Cl)[CH3:3]>>[CH:9]1([C:8]([C:6]([O:1][CH:2]([CH2:4]N(CCC(c2ccccc2)c2ccccc2)C)[CH3:3])=[O:7])=C(C)NC(C)=[C:10]1C(OCC(C)C)=O)c1c(Cl)c(Cl)ccc1
8,C1(CCC1)([C@@H](CC2)CC3=O)[C@H]23>>C1(CCC1)([C@@H](CC2)C[C@@H]3OS(=O)(=O)c4ccc(C)cc4)[C@H]23,C12([C@H]3C(=O)C[C@@H]1CC3)CCC2>>C12([C@H]3[C@@H](OS(c4ccc(C)cc4)(=O)=O)C[C@@H]1CC3)CCC2,[C:1]12([C@H:11]3[C:9](=O)[CH2:8][C@@H:5]1[CH2:6][CH2:7]3)[CH2:4][CH2:3][CH2:2]2>>[C:1]12([C@H:11]3[C@@H:9](OS(c4ccc(C)cc4)(=O)=O)[CH2:8][C@@H:5]1[CH2:6][CH2:7]3)[CH2:4][CH2:3][CH2:2]2
9,C1(CCC1)([C@@H](CC2)CC3=O)[C@H]23>>C12(CCC1)[C@H](O)[C@@H](CC3)C[C@H]23,C12([C@H]3C(=O)C[C@@H]1CC3)CCC2>>C12([C@@H]3CC[C@@H](C3)[C@H]1O)CCC2,[C:1]12([C@H:11]3[C:9](=O)[CH2:8][C@@H:5]1[CH2:6][CH2:7]3)[CH2:4][CH2:3][CH2:2]2>>[C:1]12([C@@H:5]3[CH2:6][CH2:7][C@@H:9]([CH2:8]3)[C@H:11]1O)[CH2:2][CH2:3][CH2:4]2
