,raw_ractions,transformed_reactions,automap
0,[Si](C)(C)(C)OC1=CC(CCC1)c2ccccc2>>N1(C(=O)OCc2ccccc2)[C@@]3([H])C[C@]([H])([C@H](c4ccccc4)CCC3)C[C@@H]1c5ccccc5,[Si](OC1CCCC(c2ccccc2)C=1)(C)(C)C>>N1([C@@H](c2ccccc2)C[C@]2([C@@H](CCC[C@@]1(C2)[H])c1ccccc1)[H])C(OCc1ccccc1)=O,[Si](O[C:6]1[CH2:11][CH2:10][CH2:9][CH:8]([c:12]2[cH:17][cH:16][cH:15][cH:14][cH:13]2)[CH:7]=1)(C)(C)C>>N1([C@@H](c2ccccc2)C[C@:7]2([C@@H:8]([CH2:9][CH2:10][CH2:11][C@@:6]1(C2)[H])[c:12]1[cH:17][cH:16][cH:15][cH:14][cH:13]1)[H])C(OCc1ccccc1)=O
1,[Si](C)(C)(C)OC1=CC(CCC1)c2ccccc2>>[C@@H]1(CCC[C@]([H])(N[C@H](c2ccccc2)C3)C[C@@]13[H])c4ccccc4,[Si](OC1CCCC(c2ccccc2)C=1)(C)(C)C>>[C@@H]1(c2ccccc2)[C@@]2([H])C[C@@H](c3ccccc3)N[C@@](C2)([H])CCC1,[Si](O[C:6]1[CH2:11][CH2:10][CH2:9][CH:8]([c:12]2[cH:17][cH:16][cH:15][cH:14][cH:13]2)[CH:7]=1)(C)(C)C>>[C@@H:8]1([c:12]2[cH:17][cH:16][cH:15][cH:14][cH:13]2)[C@@:9]2([H])C[C@@H](c3ccccc3)N[C@@:11]([CH2:10]2)([H])[CH2:6]C[CH2:7]1
2,C1(O[Si](C)(C)C)=CC(CC=C)CCC1>>[C@H]1(N[C@]([H])(CCCC2CC=C)C[C@@]2([H])C1)c3ccccc3,C1(CCCC(CC=C)C=1)O[Si](C)(C)C>>[C@H]1(c2ccccc2)C[C@@]2([H])C(CC=C)CCC[C@@](C2)([H])N1,[C:1]1([CH2:14][CH2:13][CH2:12][CH:8]([CH2:9][CH:10]=C)[CH:7]=1)O[Si](C)(C)C>>[C@H:9]1([c:8]2[cH:12][cH:13][cH:14][cH:1][cH:7]2)[CH2:10][C@@]2([H])C(CC=C)CCC[C@@](C2)([H])N1
3,[Si](C)(C)(C)OC1=CCC(c2ccccc2)CC1>>N1(C(=O)OCc2ccccc2)[C@@]3([H])C[C@]([H])(C[C@@H](c4ccccc4)CC3)C[C@@H]1c5ccccc5,[Si](OC1CCC(c2ccccc2)CC=1)(C)(C)C>>N1([C@@H](c2ccccc2)C[C@]2(C[C@H](CC[C@@]1(C2)[H])c1ccccc1)[H])C(OCc1ccccc1)=O,[Si](O[C:6]1[CH2:17][CH2:16][CH:9]([c:10]2[cH:15][cH:14][cH:13][cH:12][cH:11]2)[CH2:8][CH:7]=1)(C)(C)C>>N1([C@@H](c2ccccc2)[CH2:6][C@:17]2([CH2:16][C@H:9]([CH2:8][CH2:7][C@@]1(C2)[H])[c:10]1[cH:11][cH:12][cH:13][cH:14][cH:15]1)[H])C(OCc1ccccc1)=O
4,[Si](C)(C)(C)OC1=CCC(c2ccccc2)CC1>>[C@H]1(N[C@]([H])(CC[C@@H](c2ccccc2)C3)C[C@@]3([H])C1)c4ccccc4,[Si](OC1CCC(c2ccccc2)CC=1)(C)(C)C>>[C@H]1(c2ccccc2)C[C@@]2([H])C[C@H](c3ccccc3)CC[C@@](C2)([H])N1,[Si](O[C:6]1[CH2:17][CH2:16][CH:9]([c:10]2[cH:15][cH:14][cH:13][cH:12][cH:11]2)[CH2:8][CH:7]=1)(C)(C)C>>[C@H]1(c2ccccc2)[CH2:6][C@@:17]2([H])[CH2:16][C@H:9]([c:10]3[cH:15][cH:14][cH:13][cH:12][cH:11]3)[CH2:8][CH2:7][C@@](C2)([H])N1
5,c1(CC)ccccn1>>c1(ccccn1)CCC=CC(=O)OCC,c1(ncccc1)CC>>c1(CCC=CC(OCC)=O)ncccc1,[c:1]1([n:8][cH:7][cH:6][cH:5][cH:4]1)[CH2:2][CH3:3]>>[c:1]1([CH2:2][CH2:3]C=CC(OCC)=O)[n:8][cH:7][cH:6][cH:5][cH:4]1
6,c1(CC)ccccn1>>[C@@H](O)(C(=O)OCC)[C@H](O)CCc1ccccn1,c1(ncccc1)CC>>[C@H]([C@@H](CCc1ncccc1)O)(C(OCC)=O)O,[c:1]1([n:8][cH:7][cH:6][cH:5][cH:4]1)[CH2:2][CH3:3]>>[C@H]([C@@H]([CH2:3][CH2:2][c:1]1[n:8][cH:7][cH:6][cH:5][cH:4]1)O)(C(OCC)=O)O
7,c1(CC)ccccn1>>c1(ccccn1)CCC(CC)CC(=O)OCC,c1(ncccc1)CC>>c1(CCC(CC(OCC)=O)CC)ncccc1,[c:1]1([n:8][cH:7][cH:6][cH:5][cH:4]1)[CH2:2][CH3:3]>>[c:1]1([CH2:2][CH2:3]C(CC(OCC)=O)CC)[n:8][cH:7][cH:6][cH:5][cH:4]1
8,c1(CC)ccccn1>>[C@@H](O)(C(=O)OCC)[C@H](O)CCc1ccccn1,c1(ncccc1)CC>>[C@H]([C@@H](CCc1ncccc1)O)(C(OCC)=O)O,[c:1]1([n:8][cH:7][cH:6][cH:5][cH:4]1)[CH2:2][CH3:3]>>[C@H]([C@@H]([CH2:3][CH2:2][c:1]1[n:8][cH:7][cH:6][cH:5][cH:4]1)O)(C(OCC)=O)O
9,c1(CC)ccccn1>>[C@](OC)(c1ccccc1)(C(=O)O[C@H](C(=O)OCC)[C@@H](CCc2ccccn2)OC(=O)[C@](OC)(c3ccccc3)C(F)(F)F)C(F)(F)F,c1(ncccc1)CC>>[C@](C(F)(F)F)(C(O[C@@H]([C@H](OC([C@@](C(F)(F)F)(c1ccccc1)OC)=O)CCc1ncccc1)C(OCC)=O)=O)(c1ccccc1)OC,[c:1]1([n:8][cH:7][cH:6][cH:5][cH:4]1)[CH2:2][CH3:3]>>[C@](C(F)(F)F)(C(O[C@@H]([C@H](OC([C@@](C(F)(F)F)(c1ccccc1)OC)=O)[CH2:3][CH2:2][c:1]1[n:8][cH:7][cH:6][cH:5][cH:4]1)C(OCC)=O)=O)(c1ccccc1)OC
10,c1(CC)ccccn1>>c1(ccccn1)CCCCC(=O)OCC,c1(ncccc1)CC>>c1(CCCCC(OCC)=O)ncccc1,[c:1]1([n:8][cH:7][cH:6][cH:5][cH:4]1)[CH2:2][CH3:3]>>[c:1]1([CH2:2][CH2:3]CCC(OCC)=O)[n:8][cH:7][cH:6][cH:5][cH:4]1
11,C(C)(C)(C)c1ccccn1>>B(F)(F)(F)F.C1(C)(CCCC(=O)OCC)CC(CC(=O)OCC)[n+](cccc2)c12,C(c1ncccc1)(C)(C)C>>B(F)(F)(F)F.C1(c2cccc[n+]2C(CC(OCC)=O)C1)(CCCC(OCC)=O)C,[C:1]([c:5]1n[cH:9][cH:8][cH:7][cH:6]1)([CH3:4])([CH3:3])[CH3:2]>>B(F)(F)(F)F.[C:1]1([c:5]2[cH:6][cH:7][cH:8][cH:9][n+]2C(CC(OCC)=O)[CH2:4]1)([CH2:3]CCC(OCC)=O)[CH3:2]
12,C(C)(C)(C)c1ccccn1>>c1(ccccn1)C(C)(C)CC=CC(=O)OCC,C(c1ncccc1)(C)(C)C>>c1(C(CC=CC(OCC)=O)(C)C)ncccc1,[C:1]([c:5]1[n:10][cH:9][cH:8][cH:7][cH:6]1)([CH3:4])([CH3:3])[CH3:2]>>[c:5]1([C:1]([CH2:4]C=CC(OCC)=O)([CH3:3])[CH3:2])[n:10][cH:9][cH:8][cH:7][cH:6]1
13,C(C)(C)(C)c1ccccn1>>c1(ccccn1)C(C)(C)CCCC(=O)OCC,C(c1ncccc1)(C)(C)C>>c1(C(CCCC(OCC)=O)(C)C)ncccc1,[C:1]([c:5]1[n:10][cH:9][cH:8][cH:7][cH:6]1)([CH3:4])([CH3:3])[CH3:2]>>[c:5]1([C:1]([CH2:4]CCC(OCC)=O)([CH3:3])[CH3:2])[n:10][cH:9][cH:8][cH:7][cH:6]1
