,raw_ractions,transformed_reactions,automap
0,c1(ccccc1C)C(N)c2ccccn2>>C(N\C(=N\C#N)\NCC1CCCN1CC)(c2ccccn2)c3ccccc3C,c1(C(c2ncccc2)N)c(C)cccc1>>C(c1c(C)cccc1)(c1ncccc1)N/C(/NCC1N(CC)CCC1)=N/C#N,[c:1]1([CH:8]([c:10]2[n:15][cH:14][cH:13][cH:12][cH:11]2)[NH2:9])[c:6]([CH3:7])[cH:5][cH:4][cH:3][cH:2]1>>[CH:8]([c:1]1[c:6]([CH3:7])[cH:5][cH:4][cH:3][cH:2]1)([c:10]1[n:15][cH:14][cH:13][cH:12][cH:11]1)[NH:9]/C(/NCC1N(CC)CCC1)=N/C#N
1,c1(cccc(Cl)c1)C(N)c2ccccn2>>C(N\C(\NC)=N\C#N)(c1ccccn1)c2cccc(Cl)c2,c1(C(c2ncccc2)N)cc(Cl)ccc1>>C(c1cc(Cl)ccc1)(c1ncccc1)N/C(=N/C#N)/NC,[c:1]1([CH:8]([c:10]2[n:15][cH:14][cH:13][cH:12][cH:11]2)[NH2:9])[cH:7][c:5]([Cl:6])[cH:4][cH:3][cH:2]1>>[CH:8]([c:1]1[cH:7][c:5]([Cl:6])[cH:4][cH:3][cH:2]1)([c:10]1[n:15][cH:14][cH:13][cH:12][cH:11]1)[NH:9]/C(=N/C#N)/NC
2,c1(cccc(Cl)c1)C(N)c2ccccn2>>C(N\C(=N\C#N)\NCC)(c1ccccn1)c2cccc(Cl)c2,c1(C(c2ncccc2)N)cc(Cl)ccc1>>C(c1cc(Cl)ccc1)(c1ncccc1)N/C(/NCC)=N/C#N,[c:1]1([CH:8]([c:10]2[n:15][cH:14][cH:13][cH:12][cH:11]2)[NH2:9])[cH:7][c:5]([Cl:6])[cH:4][cH:3][cH:2]1>>[CH:8]([c:1]1[cH:7][c:5]([Cl:6])[cH:4][cH:3][cH:2]1)([c:10]1[n:15][cH:14][cH:13][cH:12][cH:11]1)[NH:9]/C(/NCC)=N/C#N
3,c1(cccc(Cl)c1)C(N)c2ccccn2>>C(N\C(=N\C#N)\NCC=C)(c1ccccn1)c2cccc(Cl)c2,c1(C(c2ncccc2)N)cc(Cl)ccc1>>C(c1cc(Cl)ccc1)(c1ncccc1)N/C(/NCC=C)=N/C#N,[c:1]1([CH:8]([c:10]2[n:15][cH:14][cH:13][cH:12][cH:11]2)[NH2:9])[cH:7][c:5]([Cl:6])[cH:4][cH:3][cH:2]1>>[CH:8]([c:1]1[cH:7][c:5]([Cl:6])[cH:4][cH:3][cH:2]1)([c:10]1[n:15][cH:14][cH:13][cH:12][cH:11]1)[NH:9]/C(/NCC=C)=N/C#N
4,c1(cccc(Cl)c1)C(N)c2ccccn2>>C(N\C(=N\C#N)\NCCCN(CC)CC)(c1ccccn1)c2cccc(Cl)c2,c1(C(c2ncccc2)N)cc(Cl)ccc1>>C(c1cc(Cl)ccc1)(c1ncccc1)N/C(/NCCCN(CC)CC)=N/C#N,[c:1]1([CH:8]([c:10]2[n:15][cH:14][cH:13][cH:12][cH:11]2)[NH2:9])[cH:7][c:5]([Cl:6])[cH:4][cH:3][cH:2]1>>[CH:8]([c:1]1[cH:7][c:5]([Cl:6])[cH:4][cH:3][cH:2]1)([c:10]1[n:15][cH:14][cH:13][cH:12][cH:11]1)[NH:9]/C(/NCCCN(CC)CC)=N/C#N
5,C(N)(c1ccccn1)c2ccc(Cl)cc2>>C(N\C(\NC)=N\C#N)(c1ccccn1)c2ccc(Cl)cc2,C(c1ccc(Cl)cc1)(c1ncccc1)N>>C(c1ccc(Cl)cc1)(c1ncccc1)N/C(=N/C#N)/NC,[CH:1]([c:9]1[cH:15][cH:14][c:12]([Cl:13])[cH:11][cH:10]1)([c:3]1[n:8][cH:7][cH:6][cH:5][cH:4]1)[NH2:2]>>[CH:1]([c:9]1[cH:10][cH:11][c:12]([Cl:13])[cH:14][cH:15]1)([c:3]1[n:8][cH:7][cH:6][cH:5][cH:4]1)[NH:2]/C(=N/C#N)/NC
6,C(N)(c1ccccn1)c2ccc(Cl)cc2>>C(N\C(=N\C#N)\NCC)(c1ccccn1)c2ccc(Cl)cc2,C(c1ccc(Cl)cc1)(c1ncccc1)N>>C(c1ccc(Cl)cc1)(c1ncccc1)N/C(/NCC)=N/C#N,[CH:1]([c:9]1[cH:15][cH:14][c:12]([Cl:13])[cH:11][cH:10]1)([c:3]1[n:8][cH:7][cH:6][cH:5][cH:4]1)[NH2:2]>>[CH:1]([c:9]1[cH:10][cH:11][c:12]([Cl:13])[cH:14][cH:15]1)([c:3]1[n:8][cH:7][cH:6][cH:5][cH:4]1)[NH:2]/C(/NCC)=N/C#N
7,C(N)(c1ccccn1)c2ccc(Cl)cc2>>C(N\C(=N\C#N)\NCC=C)(c1ccccn1)c2ccc(Cl)cc2,C(c1ccc(Cl)cc1)(c1ncccc1)N>>C(c1ccc(Cl)cc1)(c1ncccc1)N/C(/NCC=C)=N/C#N,[CH:1]([c:9]1[cH:15][cH:14][c:12]([Cl:13])[cH:11][cH:10]1)([c:3]1[n:8][cH:7][cH:6][cH:5][cH:4]1)[NH2:2]>>[CH:1]([c:9]1[cH:10][cH:11][c:12]([Cl:13])[cH:14][cH:15]1)([c:3]1[n:8][cH:7][cH:6][cH:5][cH:4]1)[NH:2]/C(/NCC=C)=N/C#N
8,C(N)(c1ccccn1)c2ccc(Cl)cc2>>C(N\C(=N\C#N)\NCC1CCCN1CC)(c2ccccn2)c3ccc(Cl)cc3,C(c1ccc(Cl)cc1)(c1ncccc1)N>>C(c1ccc(Cl)cc1)(c1ncccc1)N/C(/NCC1N(CC)CCC1)=N/C#N,[CH:1]([c:9]1[cH:15][cH:14][c:12]([Cl:13])[cH:11][cH:10]1)([c:3]1[n:8][cH:7][cH:6][cH:5][cH:4]1)[NH2:2]>>[CH:1]([c:9]1[cH:10][cH:11][c:12]([Cl:13])[cH:14][cH:15]1)([c:3]1[n:8][cH:7][cH:6][cH:5][cH:4]1)[NH:2]/C(/NCC1N(CC)CCC1)=N/C#N
9,c1(ccc(N)c(N(=O)=O)c1)C(F)(F)F>>c1(ccc(C(F)(F)F)cc1N(=O)=O)c2ccc(C(=O)OCC)o2,c1(C(F)(F)F)cc(N(=O)=O)c(N)cc1>>c1(-c2oc(C(OCC)=O)cc2)c(N(=O)=O)cc(C(F)(F)F)cc1,[c:1]1([C:11]([F:14])([F:13])[F:12])[cH:10][c:6]([N:7](=[O:9])=[O:8])[c:4](N)[cH:3][cH:2]1>>[c:4]1(-c2oc(C(OCC)=O)cc2)[c:6]([N:7](=[O:9])=[O:8])[cH:10][c:1]([C:11]([F:14])([F:13])[F:12])[cH:2][cH:3]1
