,raw_ractions,transformed_reactions,automap
0,c1(ccc(Cl)nc1)N(=O)=O>>c1(Cl)ccc(N)cn1,c1(N(=O)=O)cnc(Cl)cc1>>c1(ncc(N)cc1)Cl,[c:1]1(N(=O)=O)[cH:7][n:6][c:4]([Cl:5])[cH:3][cH:2]1>>[c:4]1([n:6][cH:7][c:1](N)[cH:2][cH:3]1)[Cl:5]
1,c12c(cccc1C)C=CC(=O)O2>>c12c(cccc1C)CCC(=O)O2,c12OC(=O)C=Cc1cccc2C>>c12OC(=O)CCc1cccc2C,[c:1]12[O:12][C:10](=[O:11])[CH:9]=[CH:8][c:2]1[cH:3][cH:4][cH:5][c:6]2[CH3:7]>>[c:1]12[O:12][C:10](=[O:11])[CH2:9][CH2:8][c:2]1[cH:3][cH:4][cH:5][c:6]2[CH3:7]
2,c1(Cl)ccccc1S.c1(Cl)ccccc1S>>c1(ccccc1Cl)SSc2ccccc2Cl,c1(c(S)cccc1)Cl.c1(c(S)cccc1)Cl>>c1(SSc2c(Cl)cccc2)c(Cl)cccc1,[c:1]1([c:7]([SH:8])[cH:6][cH:5][cH:4][cH:3]1)[Cl:2].[c:9]1([c:15]([SH:16])[cH:14][cH:13][cH:12][cH:11]1)[Cl:10]>>[c:7]1([S:8][S:16][c:15]2[c:9]([Cl:10])[cH:11][cH:12][cH:13][cH:14]2)[c:1]([Cl:2])[cH:3][cH:4][cH:5][cH:6]1
3,c1(N)nc(C)ncc1C#N>>c1(N)nc(C)ncc1C=O,c1(c(C#N)cnc(C)n1)N>>c1(c(C=O)cnc(C)n1)N,[c:1]1([c:8]([C:9]#N)[cH:7][n:6][c:4]([CH3:5])[n:3]1)[NH2:2]>>[c:1]1([c:8]([CH:9]=O)[cH:7][n:6][c:4]([CH3:5])[n:3]1)[NH2:2]
4,c1(Cl)nc(N)nc(C)c1C>>c1(C)nc(N)ncc1C,c1(c(C)c(C)nc(N)n1)Cl>>c1(c(C)cnc(N)n1)C,[c:1]1([c:9]([CH3:10])[c:7]([CH3:8])[n:6][c:4]([NH2:5])[n:3]1)Cl>>[c:7]1([c:9]([CH3:10])[cH:1][n:3][c:4]([NH2:5])[n:6]1)[CH3:8]
5,C(=C)(C)C=O>>C(=C)(C)CO,C(C=O)(C)=C>>C(CO)(C)=C,[C:1]([CH:4]=O)([CH3:3])=[CH2:2]>>[C:1]([CH2:4]O)([CH3:3])=[CH2:2]
6,C(=O)(O)CCCCC(=O)O>>C(CCO)CCCO,C(CCCCC(O)=O)(O)=O>>C(CCCO)CCO,[C:1]([CH2:4][CH2:5][CH2:6][CH2:7][C:8]([OH:10])=O)([OH:3])=O>>[CH2:5]([CH2:6][CH2:7][CH2:8][OH:10])[CH2:4][CH2:1][OH:3]
7,C(=O)(O)CCCCC(=O)O>>C(=O)(Cl)CCCCC(=O)Cl,C(CCCCC(O)=O)(O)=O>>C(CCCCC(Cl)=O)(Cl)=O,[C:1]([CH2:4][CH2:5][CH2:6][CH2:7][C:8](O)=[O:9])(O)=[O:2]>>[C:1]([CH2:4][CH2:5][CH2:6][CH2:7][C:8](Cl)=[O:9])(Cl)=[O:2]
8,c12c(cccc1)nc(SC)s2>>S(C)(=O)(=O)c1nc(cccc2)c2s1,c12sc(SC)nc1cccc2>>S(c1sc2ccccc2n1)(=O)(=O)C,[c:1]12[s:11][c:8](SC)[n:7][c:2]1[cH:3][cH:4][cH:5][cH:6]2>>S([c:8]1[s:11][c:1]2[cH:6][cH:5][cH:4][cH:3][c:2]2[n:7]1)(=O)(=O)C
9,c12c(CCOC1)ccc(C)c2>>c12c(CCOC1=O)ccc(C)c2,c12cc(C)ccc1CCOC2>>c12cc(C)ccc1CCOC2=O,[c:1]12[cH:11][c:9]([CH3:10])[cH:8][cH:7][c:2]1[CH2:3][CH2:4][O:5][CH2:6]2>>[c:1]12[cH:11][c:9]([CH3:10])[cH:8][cH:7][c:2]1[CH2:3][CH2:4][O:5][C:6]2=O
