,raw_ractions,transformed_reactions,automap
0,C1(=O)CCC(=O)O1.c1(OC)ccccc1>>c1(ccc(OC)cc1)C(=O)CCC(=O)O,C1(OC(=O)CC1)=O.c1(ccccc1)OC>>c1(C(CCC(O)=O)=O)ccc(OC)cc1,[C:1]1([O:7][C:5](=[O:6])[CH2:4][CH2:3]1)=[O:2].[c:8]1([cH:15][cH:14][cH:13][cH:12][cH:11]1)[O:9][CH3:10]>>[c:13]1([C:5]([CH2:4][CH2:3][C:1]([OH:7])=[O:2])=[O:6])[cH:14][cH:15][c:8]([O:9][CH3:10])[cH:11][cH:12]1
1,O1C(=O)CCCC1=O.c1(OC)ccccc1OC>>c1(ccc(OC)c(OC)c1)C(=O)CCCC(=O)O,O1C(=O)CCCC1=O.c1(c(OC)cccc1)OC>>c1(C(CCCC(O)=O)=O)cc(OC)c(OC)cc1,[O:1]1[C:7](=[O:8])[CH2:6][CH2:5][CH2:4][C:2]1=[O:3].[c:9]1([c:16]([O:17][CH3:18])[cH:15][cH:14][cH:13][cH:12]1)[O:10][CH3:11]>>[c:14]1([C:2]([CH2:4][CH2:5][CH2:6][C:7]([OH:1])=[O:8])=[O:3])[cH:15][c:16]([O:17][CH3:18])[c:9]([O:10][CH3:11])[cH:12][cH:13]1
2,c1(ccc(OC)cc1)B(O)O.c1(ccccc1)C(=O)OC(=O)c2ccccc2>>C(=O)(c1ccccc1)c2ccc(OC)cc2,c1(B(O)O)ccc(OC)cc1.c1(C(OC(c2ccccc2)=O)=O)ccccc1>>C(c1ccc(OC)cc1)(c1ccccc1)=O,[c:1]1(B(O)O)[cH:8][cH:7][c:4]([O:5][CH3:6])[cH:3][cH:2]1.[c:12]1([C:18](O[C:18]([c:12]2[cH:17][cH:16][cH:15][cH:14][cH:13]2)=[O:19])=[O:19])[cH:17][cH:16][cH:15][cH:14][cH:13]1>>[C:18]([c:1]1[cH:8][cH:7][c:4]([O:5][CH3:6])[cH:3][cH:2]1)([c:12]1[cH:17][cH:16][cH:15][cH:14][cH:13]1)=[O:19]
3,C1(=O)CCC(=O)O1.c1(OC)ccccc1OC>>c1(ccc(OC)c(OC)c1)C(=O)CCC(=O)O,C1(OC(=O)CC1)=O.c1(c(OC)cccc1)OC>>c1(C(CCC(O)=O)=O)cc(OC)c(OC)cc1,[C:1]1([O:7][C:5](=[O:6])[CH2:4][CH2:3]1)=[O:2].[c:8]1([c:15]([O:16][CH3:17])[cH:14][cH:13][cH:12][cH:11]1)[O:9][CH3:10]>>[c:13]1([C:5]([CH2:4][CH2:3][C:1]([OH:7])=[O:2])=[O:6])[cH:14][c:15]([O:16][CH3:17])[c:8]([O:9][CH3:10])[cH:11][cH:12]1
4,C1(=O)CCC(=O)O1.c12c(cccc1)cccc2OC>>c12c(cccc1)c(OC)ccc2C(=O)CCC(=O)O,C1(OC(=O)CC1)=O.c12c(OC)cccc1cccc2>>c12c(C(CCC(O)=O)=O)ccc(OC)c1cccc2,[C:1]1([O:7][C:5](=[O:6])[CH2:4][CH2:3]1)=[O:2].[c:8]12[c:17]([O:18][CH3:19])[cH:16][cH:15][cH:14][c:9]1[cH:10][cH:11][cH:12][cH:13]2>>[c:9]12[c:14]([C:5]([CH2:4][CH2:3][C:1]([OH:7])=[O:2])=[O:6])[cH:15][cH:16][c:17]([O:18][CH3:19])[c:8]1[cH:13][cH:12][cH:11][cH:10]2
5,c12c(cccc1)C(=O)OC2=O.c1(OC)ccccc1>>c1(ccccc1C(=O)O)C(=O)c2ccc(OC)cc2,c12C(=O)OC(=O)c1cccc2.c1(ccccc1)OC>>c1(C(c2ccc(OC)cc2)=O)c(C(O)=O)cccc1,[c:1]12[C:10](=[O:11])[O:9][C:7](=[O:8])[c:2]1[cH:3][cH:4][cH:5][cH:6]2.[c:12]1([cH:19][cH:18][cH:17][cH:16][cH:15]1)[O:13][CH3:14]>>[c:1]1([C:10]([c:17]2[cH:18][cH:19][c:12]([O:13][CH3:14])[cH:15][cH:16]2)=[O:11])[c:2]([C:7]([OH:9])=[O:8])[cH:3][cH:4][cH:5][cH:6]1
6,c1(OC)cc(OC)cc(OC)c1.C(C)(=O)OC(C)=O>>c1(C(C)=O)c(OC)cc(OC)cc1OC,c1(cc(OC)cc(OC)c1)OC.C(OC(=O)C)(=O)C>>c1(c(OC)cc(OC)cc1OC)C(=O)C,[c:1]1([cH:12][c:9]([O:10][CH3:11])[cH:8][c:5]([O:6][CH3:7])[cH:4]1)[O:2][CH3:3].[C:13](OC(=O)C)(=[O:15])[CH3:14]>>[c:12]1([c:1]([O:2][CH3:3])[cH:4][c:5]([O:6][CH3:7])[cH:8][c:9]1[O:10][CH3:11])[C:13](=[O:15])[CH3:14]
7,C(=O)(OC(=O)c1ccc(C)cc1)c2ccc(C)cc2.c1(ccc(OC)cc1)B(O)O>>C(=O)(c1ccc(C)cc1)c2ccc(OC)cc2,C(c1ccc(C)cc1)(OC(c1ccc(C)cc1)=O)=O.c1(B(O)O)ccc(OC)cc1>>C(c1ccc(OC)cc1)(c1ccc(C)cc1)=O,[C:4]([c:6]1[cH:12][cH:11][c:9]([CH3:10])[cH:8][cH:7]1)(O[C:4]([c:6]1[cH:12][cH:11][c:9]([CH3:10])[cH:8][cH:7]1)=[O:5])=[O:5].[c:20]1(B(O)O)[cH:27][cH:26][c:23]([O:24][CH3:25])[cH:22][cH:21]1>>[C:4]([c:20]1[cH:27][cH:26][c:23]([O:24][CH3:25])[cH:22][cH:21]1)([c:6]1[cH:7][cH:8][c:9]([CH3:10])[cH:11][cH:12]1)=[O:5]
8,C(=O)(OCC)C(=O)OCC.c1([Mg]Br)ccc(OC)cc1>>c1(ccc(OC)cc1)C(=O)C(=O)OCC,C(C(OCC)=O)(OCC)=O.c1(ccc(OC)cc1)[Mg]Br>>c1(C(C(OCC)=O)=O)ccc(OC)cc1,[C:1]([C:6](OCC)=[O:7])([O:3][CH2:4][CH3:5])=[O:2].[c:11]1([cH:20][cH:19][c:16]([O:17][CH3:18])[cH:15][cH:14]1)[Mg]Br>>[c:11]1([C:6]([C:1]([O:3][CH2:4][CH3:5])=[O:2])=[O:7])[cH:20][cH:19][c:16]([O:17][CH3:18])[cH:15][cH:14]1
9,c1(OC)ccccc1Cl.C(C)(=O)OC(C)=O>>c1(C(C)=O)ccc(OC)c(Cl)c1,c1(c(Cl)cccc1)OC.C(OC(=O)C)(=O)C>>c1(cc(Cl)c(OC)cc1)C(=O)C,[c:1]1([c:8]([Cl:9])[cH:7][cH:6][cH:5][cH:4]1)[O:2][CH3:3].[C:10](OC(=O)C)(=[O:12])[CH3:11]>>[c:6]1([cH:7][c:8]([Cl:9])[c:1]([O:2][CH3:3])[cH:4][cH:5]1)[C:10](=[O:12])[CH3:11]
