,error_ractions,error_info
0,C(/CCl)=C(\C)/C>>C1(C)(C)CCc(cccc2)c2CN1,"element: can not calculate implicit hydrogens on aromatic C, charge 0, degree 1, 0 radical electrons"
1,C(/CCl)=C(\C)/C>>C1(C)(C)CCc(cccc2)c2C=N1,"element: can not calculate implicit hydrogens on aromatic C, charge 0, degree 1, 0 radical electrons"
2,C(/CCl)=C(\C)/C>>C(C)(C)(N(=O)=O)CCc1ccccc1C=O,"element: can not calculate implicit hydrogens on aromatic C, charge 0, degree 1, 0 radical electrons"
3,[C@]([H])(N)(CC(C)C)C(=O)O.[C@]([H])(N)(CC(C)C)C(=O)O.[C@]([H])(N)(CC(C)C)C(=O)O>>C(F)(F)(F)C(=O)O.[C@]([H])(CC(C)C)(C(=O)O)NC(=O)[C@@]([H])(N)COCc1ccccc1,Ignored this reaction
4,c1(I)ccc(C)cc1.c1(I)ccc(C)cc1.c1(I)ccc(C)cc1>>c1(cccc(Br)c1)\C=C\c2ccc(\C=C\c3ccc(Br)cc3)cc2,Ignored this reaction
5,c1(ccccc1I)Cc2ccccc2I>>c12c(cc(cccc3)c3c1c4ccccc4)c5c(cccc5)Cc(cccc6)c26,"element: can not calculate implicit hydrogens on aromatic C, charge 0, degree 1, 0 radical electrons"
6,[Si](\C=C\CO)(C(C)(C)C)(c1ccccc1)c2ccccc2>>[Si](C(C=C)C=O)(c1ccccc1)(c2ccccc2)C(C)(C)C,"element: can not calculate implicit hydrogens on aromatic C, charge 0, degree 1, 0 radical electrons"
7,[Si](C#CCO)(C(C)(C)C)(c1ccccc1)c2ccccc2>>[Si](C(C=C)C=O)(c1ccccc1)(c2ccccc2)C(C)(C)C,"element: can not calculate implicit hydrogens on aromatic C, charge 0, degree 1, 0 radical electrons"
8,[Si](C#CCOC1CCCCO1)(c2ccccc2)(c3ccccc3)C(C)(C)C>>[Si](C(C=C)C=O)(c1ccccc1)(c2ccccc2)C(C)(C)C,"element: can not calculate implicit hydrogens on aromatic C, charge 0, degree 1, 0 radical electrons"
9,[C@H](O)([C@@H](\C=C\C(=O)OCC)OCc1ccc(OC)cc1)[C@H](O)[C@H](\C=C\CO)OCc2ccccc2>>[C@@H](O[Si](C)(C)C(C)(C)C)([C@H](O[Si](C)(C)C(C)(C)C)[C@H](\C=C\COC(C)=O)OCc1ccccc1)[C@H](OCc2ccc(OC)cc2)[C@H]3O[C@@H]3C=C,"element: can not calculate implicit hydrogens on aromatic C, charge 0, degree 1, 0 radical electrons"
10,[C@H](O)([C@@H](\C=C\C(=O)OCC)OCc1ccc(OC)cc1)[C@H](O)[C@H](\C=C\CO)OCc2ccccc2>>[C@@H](O[Si](C)(C)C(C)(C)C)([C@H](O[Si](C)(C)C(C)(C)C)[C@H](\C=C\CO[Si](C)(C)C(C)(C)C)OCc1ccccc1)[C@H](OCc2ccc(OC)cc2)[C@H]3O[C@@H]3C=O,"element: can not calculate implicit hydrogens on aromatic C, charge 0, degree 1, 0 radical electrons"
11,[C@@H]1(OC(C)(C)O[C@H]1[C@@H](CO)OCc2ccc(OC)cc2)[C@H](\C=C\COC3CCCCO3)OCc4ccccc4>>[C@H](OCc1ccccc1)([C@@H]2O[C@H]2C=C)[C@@]3([H])O[C@@H](C=C)[C@H](O)[C@@H](OCc4ccc(OC)cc4)[C@@H]3O,"element: can not calculate implicit hydrogens on aromatic C, charge 0, degree 1, 0 radical electrons"
12,[C@@H]1(OC(C)(C)O[C@H]1[C@@H](C=O)OCc2ccc(OC)cc2)[C@H](\C=C\COC3CCCCO3)OCc4ccccc4>>[C@@H](O[Si](C)(C)C(C)(C)C)([C@H](O[Si](C)(C)C(C)(C)C)[C@H](\C=C\COC(C)=O)OCc1ccccc1)[C@H](OCc2ccc(OC)cc2)[C@H]3O[C@@H]3C=C,"element: can not calculate implicit hydrogens on aromatic C, charge 0, degree 1, 0 radical electrons"
13,N1(OC(=O)[C@]([H])(CC(C)C)NC(=O)[C@]([H])(CC(=O)OCc2ccccc2)NC(=O)OC(C)(C)C)C(=O)CCC1=O>>[C@@]([H])(Cc1c[nH]cn1)(NC(=O)[C@]([H])(CC(C)C)NC(=O)[C@@]([H])(N)CC(=O)O)C(=O)N[C@@]([H])(CC(C)C)C(=O)N[C@@]([H])(CO)C(=O)N[C@@]([H])(CC(C)C)C(=O)O,"element: can not calculate implicit hydrogens on aromatic C, charge 0, degree 1, 0 radical electrons"
