,error_ractions,error_info
0,>>c12c(CCS1=O)nc(N3CCC(c4cccc(C(=O)N(C)Cc5nn(C)cc5C)c4)CC3)nc2NC6CCOCC6,Ignored this reaction
1,>>c12c(CCS1=O)nc(N3CCC(c4cccc(C(=O)NCc5cn(C)nc5C)c4)CC3)nc2NC6CCOCC6,Ignored this reaction
2,>>c1(NC2CCOCC2)nc(N3CCC(c4ccc(C(=O)NCc5cn(C)nc5C)cc4)CC3)nc(CCS6=O)c16,Ignored this reaction
3,>>c1(NC2CCOCC2)nc(N3CCC(Oc4ccc(C(=O)NCc5cn(C)nc5C)cc4)CC3)nc(CCS6=O)c16,Ignored this reaction
4,>>c12c(CCS1=O)nc(N3CCC(Oc4ccncc4)CC3)nc2N[C@H]5CCC(=O)N(C)C5,Ignored this reaction
5,>>c12c(CCS1=O)nc(N3CCC(Oc4ccc(Cl)cc4)CC3)nc2N[C@H]5CCC(=O)N(C)C5,Ignored this reaction
6,>>c12c(CCS1=O)nc(N3CCC(Oc4ccccc4C(C)C)CC3)nc2N[C@H]5CCC(=O)N(C)C5,Ignored this reaction
7,>>c12c(CCS1=O)nc(N3CCC(Oc4ccc(C(C)C)cc4)CC3)nc2N[C@H]5CCC(=O)N(C)C5,Ignored this reaction
8,>>c1(NC2CCOCC2)nc(N3CCC(Oc4ccncc4)CC3)nc(CCS5=O)c15,Ignored this reaction
9,>>c12c(CCS1=O)nc(N3CCC(Oc4ccc(C(C)C)cc4)CC3)nc2NC5CCOCC5,Ignored this reaction
10,>>c12c(CCS1=O)nc(N3CCC(Oc4ccc(Cl)cc4)CC3)nc2NC5CCOCC5,Ignored this reaction
11,>>c12c(CCS1=O)nc(N3CCC(Oc4ccccc4C(C)C)CC3)nc2NC5CCOCC5,Ignored this reaction
12,>>c1(NC2CCOCC2)nc(N3CCC(c4oc(C)c(c5ccccc5)n4)CC3)nc(CCS6=O)c16,Ignored this reaction
13,>>C1(CO)(CC1)Nc2nc(N3CCC(c4oc(C)c(c5ccccc5)n4)CC3)nc(CCS6=O)c26,Ignored this reaction
14,>>c12c(CCS1=O)nc(N3CCC(c4nc(c5ccccc5)c(c6ccccc6)o4)CC3)nc2NC7CCOCC7,Ignored this reaction
15,>>C1(CO)(CC1)Nc2nc(N3CCC(c4nc(c5ccccc5)c(c6ccccc6)o4)CC3)nc(CCS7=O)c27,Ignored this reaction
16,>>C1(CO)(CCN(c2nc3c(S(=O)CC3)c(NC4CCOCC4)n2)CC1)c5ccc(Cl)cc5,Ignored this reaction
17,>>c1(NC2CCOCC2)nc(N3CCC(c4nc(C)c(c5ccc(Cl)cc5)o4)CC3)nc(CCS6=O)c16,Ignored this reaction
18,>>c1(NC2CCOCC2)nc(N3CCC(c4n[nH]c(c5cccs5)c4)CC3)nc(CCS6=O)c16,Ignored this reaction
19,>>C1(CO)(CC1)Nc2nc(N3CCC(c4n[nH]c(c5cccs5)c4)CC3)nc(CCS6=O)c26,Ignored this reaction
20,>>c1(N[C@H]2CCC(=O)N(C)C2)nc(N3CCC(c4n[nH]c(c5cccs5)c4)CC3)nc(CCS6=O)c16,Ignored this reaction
21,>>c1(Nc2cccc(F)c2)nc(N3CCC(c4n[nH]c(c5cccs5)c4)CC3)nc(CCS6=O)c16,Ignored this reaction
22,>>C1(O)(CCN(c2nc3c(S(=O)CC3)c(NC4CCOCC4)n2)CC1)c5ccc(Cl)cc5,Ignored this reaction
23,>>C1(CO)(CC1)Nc2nc(N3CCC(O)(c4ccc(Cl)cc4)CC3)nc(CCS5=O)c25,Ignored this reaction
