,error_ractions,error_info
0,c1(Br)ccccc1.c1(cccc(C)c1)N(C)C>>c1(cccc(C)c1)N(C)c2ccccc2,"element: can not calculate implicit hydrogens on aromatic C, charge 0, degree 1, 0 radical electrons"
1,c1(cccc(C)c1)N(C)C.c1(I)ccccc1>>c1(cccc(C)c1)N(C)c2ccccc2,"element: can not calculate implicit hydrogens on aromatic C, charge 0, degree 1, 0 radical electrons"
2,c1(I)ccccc1.c1(ccccc1)N(C)C>>N(C)(c1ccccc1)c2ccccc2,"element: can not calculate implicit hydrogens on aromatic C, charge 0, degree 1, 0 radical electrons"
3,c1(Br)ccccc1.c1(ccccc1)N(C)C>>N(C)(c1ccccc1)c2ccccc2,"element: can not calculate implicit hydrogens on aromatic C, charge 0, degree 1, 0 radical electrons"
4,c1(NN)ccccc1CC.Cl[H].N1(N=C(C)C(=N#N)C1=O)c2ccccc2>>n1(nc(C)c(N=Nc2ccccc2CC)c1O)c3ccccc3,Ignored this reaction
5,C(=O)(OCC)C(=N#N)C(C)=O.c1(C)cc(C)ccc1NN.Cl[H]>>n1(nc(C)c(N=Nc2ccc(C)cc2C)c1O)c3ccc(C)cc3C,Ignored this reaction
6,c1(C=O)ccc(F)cc1.C1(=O)NN=C(C)C1.C(C#N)C#N>>C1(c2ccc(F)cc2)C(C#N)=C(N)Oc(n[nH]c3C)c13,Ignored this reaction
7,c1(Br)ccccc1.c1(ccc(F)cc1)N(C)C>>N(C)(c1ccccc1)c2ccc(F)cc2,"element: can not calculate implicit hydrogens on aromatic C, charge 0, degree 1, 0 radical electrons"
8,c1(I)ccccc1.c1(ccc(F)cc1)N(C)C>>N(C)(c1ccccc1)c2ccc(F)cc2,"element: can not calculate implicit hydrogens on aromatic C, charge 0, degree 1, 0 radical electrons"
9,c12c(cccc1)cccc2Br.c1(ccccc1)N(C)C>>c1(ccc(cccc2)c2c1)N(C)c3ccccc3,"element: can not calculate implicit hydrogens on aromatic C, charge 0, degree 1, 0 radical electrons"
10,c1(cnccc1C)C(C)=O.C(=O)(OCC)C(=O)OCC>>c1(cnccc1C)C([O-])=CC(=O)C(=O)OCC.[Li+],Ignored this reaction
11,c1(ccncc1)C(C)=O.C(=O)(OCC)C(=O)OCC>>c1(ccncc1)C([O-])=CC(=O)C(=O)OCC.[Li+],Ignored this reaction
12,c1(cccnc1)C(C)=O.C(=O)(OCC)C(=O)OCC>>c1(cccnc1)C([O-])=CC(=O)C(=O)OCC.[Li+],Ignored this reaction
13,c1(ccc(C(C)=O)cc1F)C(F)(F)F.C(=O)(OCC)C(=O)OCC>>c1(ccc(C([O-])=CC(=O)C(=O)OCC)cc1F)C(F)(F)F.[Li+],Ignored this reaction
14,c1(cccnc1)C(=O)CC.C(=O)(OCC)C(=O)OCC>>C(C)(C(=O)C(=O)OCC)=C([O-])c1cccnc1.[Li+],Ignored this reaction
15,c1(cccc(C)c1)N(C)C.c1(Cl)ccccc1>>c1(cccc(C)c1)N(C)c2ccccc2,"element: can not calculate implicit hydrogens on aromatic C, charge 0, degree 1, 0 radical electrons"
16,c1(Br)ccccc1.c1(ccccc1OC)N(C)C>>c1(ccccc1OC)N(C)c2ccccc2,"element: can not calculate implicit hydrogens on aromatic C, charge 0, degree 1, 0 radical electrons"
17,c1(I)ccc(F)cc1.c1(ccccc1)N(C)C>>N(C)(c1ccccc1)c2ccc(F)cc2.c1(cccc(F)c1)N(C)c2ccccc2,Ignored this reaction
18,c1(I)ccccc1.c1(ccccc1OC)N(C)C>>c1(ccccc1OC)N(C)c2ccccc2,"element: can not calculate implicit hydrogens on aromatic C, charge 0, degree 1, 0 radical electrons"
19,c1(ccccc1)N(C)C.c1(Br)ccc(F)cc1>>N(C)(c1ccccc1)c2ccc(F)cc2.c1(cccc(F)c1)N(C)c2ccccc2,Ignored this reaction
20,c1(C)cc(Br)ccc1C.c1(ccccc1)N(C)C>>c1(ccc(C)c(C)c1)N(C)c2ccccc2,"element: can not calculate implicit hydrogens on aromatic C, charge 0, degree 1, 0 radical electrons"
21,c1(cccnc1)C(N)CC(=O)OC.Cl.C(=O)(OC)CC(=O)Cl>>c1(cccnc1)C(CC(=O)OC)NC(=O)CC(=O)OC,Ignored this reaction
