,error_ractions,error_info
0,C1(=O)NC(=O)C=CN1CCCBr>>C1(=NC(=O)N(CCCCl)C=C1)n2cncn2,"element: can not calculate implicit hydrogens on aromatic C, charge 0, degree 1, 0 radical electrons"
1,c1(ccccc1)C(=O)OC>>c1(cc(cccc2)c2o1)c3ccccc3,"element: can not calculate implicit hydrogens on aromatic C, charge 0, degree 1, 0 radical electrons"
2,[C@@]([H])(C(=O)O)([C@@]([H])(C)CC)NC(=O)OC(C)(C)C>>C(C)(=O)O.[C@@]([H])(Cc1ccccc1)(NC(=O)[C@@]([H])(N)[C@@]([H])(C)CC)C(=O)N[C@@]([H])(CCCNC(=N)N)C(=O)Nc2ccc(N(=O)=O)cc2.O([H])[H],Ignored this reaction
3,C(C)(C)(C)OC(=O)N[C@@]([H])(CC(C)C)C(=O)O>>N1(CCC[C@@]1([H])C(=O)NNC(=O)OCC(Cl)(Cl)Cl)C(=O)[C@]([H])(CC(=O)OC2CCCCC2)NC(=O)[C@]([H])(CCC(=O)OCc3ccccc3)NC(=O)[C@]([H])(CC(C)C)NC(=O)[C@]([H])(Cc4ccccc4)NC(=O)[C@@]([H])(N)CCC(=O)OCc5ccccc5,"element: can not calculate implicit hydrogens on aromatic C, charge 0, degree 1, 0 radical electrons"
4,S(=O)(=O)(CP(=O)(OCC)OCC)c1ccccc1>>C1(F)(C[C@@H](C=C2)C[C@H]12)S(=O)(=O)c3ccccc3,"element: can not calculate implicit hydrogens on aromatic C, charge 0, degree 1, 0 radical electrons"
5,S1(=O)(=NP(Cl)(Cl)=NP(Cl)(Cl)=N1)c2ccccc2>>p1(n[s@](=O)(c2ccccc2)n[p@](OC=C)(N3CC3)n1)(N4CC4)N5CC5,SMILES loader: chirality not possible on atom #2
6,c1(ccccc1)CC(=O)CC#N>>C1(c2cccc(N(=O)=O)c2)C(C(=O)OC)=C(C)Nc(n(C)nc3Cc4ccccc4)c13.Cl[H].O([H])[H],Ignored this reaction
7,C(OC[C@H]1O[C@@H](n2cnc(C(=O)NC(NC(=O)C(C)C)=N3)c23)C[C@@H]1O)(c4ccccc4)(c5ccc(OC)cc5)c6ccc(OC)cc6>>C(OC[C@H]1O[C@@H](n2cnc(c(ncn3)NC(=O)c4ccccc4)c23)C[C@@H]1OP(=O)(Oc5ccccc5Cl)OC[C@H]6O[C@@H](n7cnc(C(=O)NC(NC(=O)C(C)C)=N8)c78)C[C@@H]6OP(=O)(OCCC#N)Oc9ccccc9Cl)(c%10ccccc%10)(c%11ccc(OC)cc%11)c%12ccc(OC)cc%12,"element: can not calculate implicit hydrogens on aromatic C, charge 0, degree 1, 0 radical electrons"
8,[C@H](N)(C(C)C)C(=O)OC.Cl[H]>>[C@@]([H])(CC(N)=O)(NC(=O)[C@]([H])(CC(N)=O)NC(=O)OC(C)(C)C)C(=O)N[C@@]([H])(C(C)C)C(=O)OC.O([H])[H],Ignored this reaction
9,[C@H](N)(C(C)C)C(=O)OC.Cl[H]>>[C@@]([H])(C(C)C)(NC(=O)OC(C)(C)C)C(=O)N[C@@]([H])(C)C(=O)N[C@@]([H])(CC(N)=O)C(=O)N[C@@]([H])(CC(N)=O)C(=O)N[C@@]([H])(C(C)C)C(=O)OC.O([H])[H],Ignored this reaction
10,C(CCCC)CCC[S-].[Na+]>>C(F)(F)(F)C(=O)O.[S@](=O)(CSCCCCCCCC)C[C@H](N)CO,Ignored this reaction
11,C(CCCC)CCC[S-].[Na+]>>C(F)(F)(F)C(=O)O.[S@](=O)(CSCCCCCCCC)C[C@@H](N)CO,Ignored this reaction
12,C(CCCC)CCC[S-].[Na+]>>C(F)(F)(F)C(=O)O.[S@@](=O)(CSCCCCCCCC)C[C@H](N)CO,Ignored this reaction
13,C(CCCC)CCC[S-].[Na+]>>C(F)(F)(F)C(=O)O.[S@@](=O)(CSCCCCCCCC)C[C@@H](N)CO,Ignored this reaction
14,C(OCOC)\C=C/CCO>>[C@H](CCOCc1ccccc1)(OC(=O)c2ccccc2)[C@@]3([H])COC(=O)N3,"element: can not calculate implicit hydrogens on aromatic C, charge 0, degree 1, 0 radical electrons"
15,[C@]([H])(C(=O)O)([C@]([H])(C)CC)NC(=O)OC(C)(C)C>>C(C)(=O)O.[C@@]([H])(Cc1ccccc1)(NC(=O)[C@]([H])(N)[C@]([H])(C)CC)C(=O)N[C@@]([H])(CCCNC(=N)N)C(=O)Nc2ccc(N(=O)=O)cc2.O([H])[H],Ignored this reaction
16,c1(OC)c(ccc(OC)c1OC)CN2CCNCC2.Cl[H]>>c1(ccc(cccc2)c2c1)C(C)(O)CCN3CCN(Cc4ccc(OC)c(OC)c4OC)CC3.Cl[H].O([H])[H],Ignored this reaction
17,c1(OC)c(ccc(OC)c1OC)CN2CCNCC2.Cl[H]>>C(=O)(O)\C=C/C(=O)O.c1(OC)c(ccc(OC)c1OC)CN2CCN(CCC(C)(O)c3ccc(OC)cc3)CC2.O([H])[H],Ignored this reaction
18,C1(CCCC1)C(=O)CC#N>>C1(c2ccccc2N(=O)=O)C(C(=O)OCCN3CCOCC3)=C(C)Nc(n(C)nc4C5CCCC5)c14.Cl[H].O([H])[H],Ignored this reaction
19,C1(CCCC1)C(=O)CC#N>>C(=O)(O)C(=O)O.C1(C(C(=O)OCCCN(C)C)=C(C)Nc(n(C)nc2C3CCCC3)c12)c4ccccc4N(=O)=O.O([H])[H],Ignored this reaction
20,C1(CCCC1)C(=O)CC#N>>C(=O)(O)C(=O)O.C1(c2ccccc2N(=O)=O)C(C(=O)OCCc3ccccc3)=C(C)Nc(n(C)nc4C5CCCC5)c14.O([H])[H],Ignored this reaction
21,C1(CCCC1)C(=O)CC#N>>C(=O)(O)C(=O)O.c12c(NC(C)=C(C(=O)OCCOc3ccccc3)C1c4ccccc4N(=O)=O)n(C)nc2C5CCCC5.O([H])[H],Ignored this reaction
22,C1(CCCC1)C(=O)CC#N>>C(=O)(O)C(=O)O.C1(C(C(=O)OCCOc2ccc(Cl)cc2)=C(C)Nc(n(C)nc3C4CCCC4)c13)c5ccccc5N(=O)=O.O([H])[H],Ignored this reaction
23,O(C(C)(C)C)C(=O)NC(C)\C=C(/C)\C(=O)O>>C(=O)(O)C(=O)O.C(/C)(\CO)=C/C(C)N.O([H])[H],Ignored this reaction
24,[C@@]([H])(CC(N)=O)(NC(=O)[C@]([H])(CC(N)=O)NC(=O)OC(C)(C)C)C(=O)N[C@@]([H])(C(C)C)C(=O)OC.O([H])[H]>>[C@@]([H])(C(C)C)(NC(=O)OC(C)(C)C)C(=O)N[C@@]([H])(C)C(=O)N[C@@]([H])(CC(N)=O)C(=O)N[C@@]([H])(CC(N)=O)C(=O)N[C@@]([H])(C(C)C)C(=O)OC.O([H])[H],Ignored this reaction
25,[C@@]([H])(CCCNC(=N)NN(=O)=O)(NC(=O)[C@@]([H])(N)Cc1ccccc1)C(=O)Nc2ccc(N(=O)=O)cc2.Cl[H]>>C(C)(=O)O.[C@@]([H])(Cc1ccccc1)(NC(=O)[C@]([H])(N)[C@]([H])(C)CC)C(=O)N[C@@]([H])(CCCNC(=N)N)C(=O)Nc2ccc(N(=O)=O)cc2.O([H])[H],Ignored this reaction
26,[C@@]([H])(CCCNC(=N)NN(=O)=O)(NC(=O)[C@@]([H])(N)Cc1ccccc1)C(=O)Nc2ccc(N(=O)=O)cc2.Cl[H]>>C(C)(=O)O.[C@@]([H])(Cc1ccccc1)(NC(=O)[C@@]([H])(N)[C@@]([H])(C)CC)C(=O)N[C@@]([H])(CCCNC(=N)N)C(=O)Nc2ccc(N(=O)=O)cc2.O([H])[H],Ignored this reaction
27,c1(c(C)cc(C)cc1C)S(=O)(=O)\N=C(/N)\NCCC[C@@]([H])(C(=O)OC)NC(=O)[C@]([H])(CC(C)C)NC(=O)[C@@]([H])(NC(=O)CNC(=O)OC(C)(C)C)Cc2ccccc2>>[C@]([H])(NC(=O)CNC(=O)[C@@]([H])(CCCNC(=N)N)NC(=O)[C@@]([H])(N)Cc1ccc(O)cc1)(Cc2ccccc2)C(=O)N[C@@]([H])(CC(C)C)C(=O)N[C@]([H])(CO)CCCNC(=N)N,"element: can not calculate implicit hydrogens on aromatic C, charge 0, degree 1, 0 radical electrons"
28,[C@@]([H])(COCc1ccccc1)(NC(=O)[C@]([H])(CCC(N)=O)NC(=O)OC(C)(C)C)C(=O)N[C@@]([H])(CC(C)C)C(=O)OC.O([H])[H]>>[C@]([H])(NC(=O)OC(C)(C)C)(Cc1ccc(OCc2ccccc2)cc1)C(=O)N[C@@]([H])(CC(C)C)C(=O)N[C@@]([H])(CCC(N)=O)C(=O)N[C@@]([H])(COCc3ccccc3)C(=O)N[C@@]([H])(CC(C)C)C(=O)OC.O([H])[H],Ignored this reaction
29,C(OCOC)\C=C\CCO>>[C@H](CCOCc1ccccc1)(OC(=O)c2ccccc2)[C@@]3([H])COC(=O)N3,"element: can not calculate implicit hydrogens on aromatic C, charge 0, degree 1, 0 radical electrons"
30,c1(N)ccccc1.c1(N)ccccc1.c1(N)ccccc1>>c1(ccccc1C(=O)CCl)NC2CCN(Cc3ccccc3)CC2,Ignored this reaction
31,c1(S)ccccc1N>>C(/S1)(=C(\C(=O)OCC)/c2nc(cccc3)c3s2)\C(C(=O)OCC)=C4N1c5c(cccc5)S4,"element: can not calculate valence of S (1 aromatic bonds, min connectivity 1, charge 0)"
32,c1(S)ccccc1N>>C(/C(=O)OC)(\c1nc(cccc2)c2s1)=C(/S3)\C(=CS3)c4ccccc4,"element: can not calculate valence of S (1 aromatic bonds, min connectivity 1, charge 0)"
33,c1(S)ccccc1N>>C(/C(=O)OC)(\c1nc(cccc2)c2s1)=C(\S3)/C(=CS3)c4ccccc4,"element: can not calculate valence of S (1 aromatic bonds, min connectivity 1, charge 0)"
34,c1(c(OC(=O)CCCC)ccc(cccc2)c12)c3cccc(cccc4)c34>>c1(c(ccc(cccc2)c12)OC(=O)C(=O)c3ccccc3)c4cccc(cccc5)c45,"element: can not calculate implicit hydrogens on aromatic C, charge 0, degree 1, 0 radical electrons"
35,[C@@]([H])(NC(=O)OC(C)(C)C)([C@]([H])(C)CC)C(=O)N[C@]([H])(C(=O)O)Cc1ccccc1>>Br[H].[C@@]([H])(Cc1ccccc1)(NC(=O)[C@]([H])(N)[C@]([H])(C)CC)C(=O)N[C@@]([H])(CCCCN)C(=O)CCl.O([H])[H],Ignored this reaction
36,[C@]([H])(NC(=O)OC(C)(C)C)([C@@]([H])(C)CC)C(=O)N[C@]([H])(C(=O)O)Cc1ccccc1>>Br[H].[C@@]([H])(Cc1ccccc1)(NC(=O)[C@@]([H])(N)[C@@]([H])(C)CC)C(=O)N[C@@]([H])(CCCCN)C(=O)CCl.O([H])[H],Ignored this reaction
37,c1(ccccc1OC)[P-]c2ccccc2OC.[Li+].c1(ccccc1OC)[P-]c2ccccc2OC.[Li+]>>P(=O)(c1ccc(OC)cc1)(c2ccc(OC)cc2)[C@@H]3CN[C@H](CP(=O)(c4ccccc4OC)c5ccccc5OC)C3,Ignored this reaction
38,c1(ccccc1OC)[P-]c2ccccc2OC.[Li+].c1(ccccc1OC)[P-]c2ccccc2OC.[Li+]>>P(c1ccc(OC)cc1)(c2ccc(OC)cc2)[C@@H]3CN(C(=O)OC(C)(C)C)[C@H](CP(c4ccccc4OC)c5ccccc5OC)C3,Ignored this reaction
39,c1(F)ccc(N)cc1.c1(F)ccc(N)cc1.c1(F)ccc(N)cc1>>c1(cc(F)ccc1NC2CCN(C)CC2)C(=N)c3ccccc3Cl,Ignored this reaction
40,c1(ccc(OC)cc1)C(C)=O>>C(=O)(O)\C=C/C(=O)O.c1(OC)c(ccc(OC)c1OC)CN2CCN(CCC(C)(O)c3ccc(OC)cc3)CC2.O([H])[H],Ignored this reaction
41,c12c(cccc1)ccc(C(C)=O)c2>>c1(ccc(cccc2)c2c1)C(C)(O)CCN3CCN(Cc4ccc(OC)c(OC)c4OC)CC3.Cl[H].O([H])[H],Ignored this reaction
