,error_ractions,error_info
0,O=C.c1(O)c(C)cccc1C.c1(O)c(C)cccc1C>>c1(O)c(C)cc(Cc2cc(C)c(O)c(C)c2)cc1C,Ignored this reaction
1,O=C.C(C)(C)(C)c1ccc(O)cc1.O=C>>C(C)(C)(C)c1cc(CO)c(O)c(CO)c1,Ignored this reaction
2,O=C.c1(Br)ccc(O)cc1.O=C>>c1(O)c(CO)cc(Br)cc1CO,Ignored this reaction
3,O=C.c1(cc(C)ccc1O)C(C)(C)C.c1(cc(C)ccc1O)C(C)(C)C>>c1(cc(C)cc(Cc2cc(C)cc(C(C)(C)C)c2O)c1O)C(C)(C)C,Ignored this reaction
4,OC.c1(Cl)nc(Cl)nc(Cl)n1.OC>>c1(OC)nc(Cl)nc(OC)n1,Ignored this reaction
5,c1(Cl)nc(Cl)nc(Cl)n1.C(C)O.C(C)O>>c1(OCC)nc(Cl)nc(OCC)n1,Ignored this reaction
6,c1(Cl)nc(Cl)nc(Cl)n1.c1(OC)ccc(N)cc1.c1(OC)ccc(N)cc1>>c1(nc(Cl)nc(Nc2ccc(OC)cc2)n1)Nc3ccc(OC)cc3,Ignored this reaction
7,c1(Cl)nc(Cl)nc(Cl)n1.C(C)N.C(C)N>>c1(NCC)nc(Cl)nc(NCC)n1,Ignored this reaction
8,c1(Cl)nc(Cl)nc(Cl)n1.N(CCO)CCO.N(CCO)CCO.N(CCO)CCO>>c1(nc(N(CCO)CCO)nc(N(CCO)CCO)n1)N(CCO)CCO,Ignored this reaction
9,c1(Cl)nc(Cl)nc(Cl)n1.c1(O)ccccc1.c1(O)ccccc1.c1(O)ccccc1>>c1(nc(Oc2ccccc2)nc(Oc3ccccc3)n1)Oc4ccccc4,Ignored this reaction
10,c12c(cccc1)OC(=O)C=C2O.c1(OC)c(OC)cc(C=O)cc1OC.c12c(cccc1)OC(=O)C=C2O>>C(c1cc(OC)c(OC)c(OC)c1)(C2=C(O)c3c(cccc3)OC2=O)C4=C(O)c5c(cccc5)OC4=O,Ignored this reaction
11,c12c(cccc1)OC(=O)C=C2O.c1(O)c(C=O)cccc1OC.c12c(cccc1)OC(=O)C=C2O>>C1(c2c(c(OC)ccc2)OC(c3c(cccc3)OC4=O)=C14)C5=C(O)c6c(cccc6)OC5=O,Ignored this reaction
12,c12c(cccc1)OC(=O)C=C2O.c1(OC)cc(C=O)ccc1O.c12c(cccc1)OC(=O)C=C2O>>C(c1ccc(O)c(OC)c1)(C2=C(O)c3c(cccc3)OC2=O)C4=C(O)c5c(cccc5)OC4=O,Ignored this reaction
13,C1(=O)NC(=O)CC(=O)N1.c12c(cccc1)NC(=O)C2=O.C1(=O)NC(=O)CC(=O)N1>>C1(C(=O)Nc(cccc2)c12)(C3C(=O)NC(=O)NC3=O)C4C(=O)NC(=O)NC4=O,Ignored this reaction
14,O=C.c12c(cccc1)cc(cccc3)c3c2.O=C>>c12c(cccc1)c(CCl)c(cccc3)c3c2CCl,Ignored this reaction
15,C(CCBr)CCCBr.c12c(cccc1)C(=O)[N-]C2=O.[K+]>>c12c(cccc1)C(=O)N(CCCCCCBr)C2=O,Ignored this reaction
16,c12c(nccc1)ccc(C(=O)O)c2.C(C)O>>c12c(nccc1)ccc(C(=O)OCC)c2,"element: can not calculate implicit hydrogens on aromatic C, charge 0, degree 1, 0 radical electrons"
17,C1(C)(C)C(C)=Nc(cccc2)c12.C(C)I>>c12c(cccc1)[N+](CC)=C(C)C2(C)C.[I-],Ignored this reaction
18,O=C.c12c(cccc1)Cc(cccc3)c23.O=C>>C1(CO)(CO)c2c(cccc2)c(cccc3)c13,Ignored this reaction
19,O=C.N(C)(CCCN)CCCN.O=C.O=C.O=C>>N(C)(CCCN(C)C)CCCN(C)C,Ignored this reaction
20,C(CCBr)CCBr.c12c(cccc1)C(=O)[N-]C2=O.[K+]>>c12c(cccc1)C(=O)N(CCCCCBr)C2=O,Ignored this reaction
21,C(C)Br.c1(C)cc(O)ccc1O.C(C)Br>>c1(C)cc(OCC)ccc1OCC,Ignored this reaction
22,O=C.c1(CC)ccc(O)cc1.O=C>>c1(O)c(CO)cc(CC)cc1CO,Ignored this reaction
23,O=C.C(N)(CCC(=O)O)C(=O)O.O=C>>C([H])(CCC(=O)O)(C(=O)O)N(C)C,Ignored this reaction
24,O=C.c1(CCO)ccccc1.c1(CCO)ccccc1>>c1(CCOCOCCc2ccccc2)ccccc1,Ignored this reaction
25,O=C.[C@]([H])(N)(CCC(=O)O)C(=O)O.O=C>>[C@]([H])(CCC(=O)O)(C(=O)O)N(C)C,Ignored this reaction
26,O=C.c1(C)ccc(C)cc1.O=C>>c1(CCl)cc(C)c(CCl)cc1C,Ignored this reaction
27,O=C.c1(cccc(Br)c1)N(C)C.c1(cccc(Br)c1)N(C)C>>c1(ccc(N(C)C)cc1Br)Cc2ccc(N(C)C)cc2Br,Ignored this reaction
28,O=C.O=C.O=C.O=C.O=C.O=C>>N12CN(CN(C3)C1)CN3C2,Ignored this reaction
29,[Si](C)(C)(C)Cl.[Si](C)(C)(C)Cl.[Si](C)(C)(C)Cl>>[Si](C)(C)(C)P([Si](C)(C)C)[Si](C)(C)C,Ignored this reaction
30,C(=O)(OCC)C(C)O.[Si](C)(Cl)(Cl)Cl.C(=O)(OCC)C(C)O.C(=O)(OCC)C(C)O>>[Si](C)(OC(C)C(=O)OCC)(OC(C)C(=O)OCC)OC(C)C(=O)OCC,Ignored this reaction
31,c12c(cccc1)OC(=O)C=C2O.c1(C=O)cc(OC)ccc1OC.c12c(cccc1)OC(=O)C=C2O>>C(c1cc(OC)ccc1OC)(C2=C(O)c3c(cccc3)OC2=O)C4=C(O)c5c(cccc5)OC4=O,Ignored this reaction
32,c1(C)cc(Cl)nnc1Cl.c1(C)cc(Cl)nnc1Cl>>c1(C)cc(N)nnc1Cl.c1(C)cc(Cl)nnc1N,Ignored this reaction
33,OC.c1(ccc(Cl)nc1)N(=O)=O>>c1(ccc(OC)nc1)N(=O)=O,"element: can not calculate implicit hydrogens on aromatic C, charge 0, degree 1, 0 radical electrons"
34,O=C.c1(C=C)ccc(C)cc1.O=C>>c1(ccc(C)cc1)C2CCOCO2,Ignored this reaction
35,O=C.c1(cccc(C(C)(C)C)c1O)C(C)(C)C.c1(cccc(C(C)(C)C)c1O)C(C)(C)C>>C(C)(C)(C)c1cc(Cc2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)cc(C(C)(C)C)c1O,Ignored this reaction
36,O=C.N(CCN)(CCN)CCN.Cl[H].O=C.O=C.O=C.O=C.O=C>>N(CCN(C)C)(CCN(C)C)CCN(C)C,Ignored this reaction
37,C([H])(=O)O.[C@]12(C)[C@@]([H])(CC[C@]1([H])[C@]([H])(C)CCC(=O)O)[C@@]3([H])[C@@]([H])([C@]4(C)[C@@]([H])(C[C@H](O)CC4)C[C@@H]3O)CC2.C([H])(=O)O>>[C@]12(C)[C@@]([H])(CC[C@]1([H])[C@]([H])(C)CCC(=O)O)[C@@]3([H])[C@@]([H])([C@]4(C)[C@@]([H])(C[C@H](OC=O)CC4)C[C@@H]3OC=O)CC2,Ignored this reaction
