,error_ractions,error_info
0,>>C(=C\c1ccccn1)(/C2CCCCC2)\C3CCCCC3,Ignored this reaction
1,>>c(c(ccc1)ccc2)(c1CN(C(=NC)SC)C3)c23,Ignored this reaction
2,>>c1(cccc(O)c1O)C(=O)OCCN2CCCCC2,Ignored this reaction
3,>>N1(C(C)CCC1C)C(=O)Nc2c(C)cccc2C,Ignored this reaction
4,>>c12c(ccc(cccc3)c13)C4C(CCCCC4)CN2,Ignored this reaction
5,>>C12(O)C(CCC1)CN(Cc3ccccc3)C(=O)N2,Ignored this reaction
6,>>c12c(ccc(C(=O)C=Cc3ccco3)c1)c(cccc4)c24,Ignored this reaction
7,>>[C@@]12(C(=O)O)[C@H](OC(C)(C)O1)[C@H](O)[C@H](O)CO2,Ignored this reaction
8,>>N1(CC2CCCN2CC)C(=O)c(cccc3)c3C1=O,Ignored this reaction
9,>>C12(CCCCC1)\C=N\C(CC)C\C=C/CC\C=C\C2,Ignored this reaction
10,>>c12c(cccc1)C(=O)OC2=Nc3cccc(OC)c3,Ignored this reaction
11,>>c12c(cccc1)[nH]cc2C=CC(=O)c3ccccc3O,Ignored this reaction
12,>>c12c(CC(=O)c(cc(C)cc3)c13)cc(cccc4)c4n2,Ignored this reaction
13,>>C12(C3(C)OC4=O)C4(SCCS1)[C@@H](CC2)C3(C)C,Ignored this reaction
14,>>C1(C)(C)CCCC(C)(C)N1\N=C\c2cccc(cccc3)c23,Ignored this reaction
15,>>C1(=C(C)CC(C)=C(c2ccccc2)N=N1)c3ccccc3,Ignored this reaction
16,>>C1(C)(C)CCCC(C)(C)N1\N=C\c2ccc(cccc3)c3c2,Ignored this reaction
17,>>c12c(cc(C)cc1)C(=O)\C(=C\c3ccccc3)\CS2=O,Ignored this reaction
18,>>c12c(cc(OCC(C)C)cc1)C(=O)OS2(=O)=O,Ignored this reaction
19,>>C1(CCC(OC)=CC1=O)C(=O)c2ccccn2,Ignored this reaction
20,>>C12C(OC(C)(C)O1)OC(C(OC(C)=O)CO3)C23,Ignored this reaction
21,>>C1(CCC(OC)=CC1=O)C(=O)c2ccncc2,Ignored this reaction
22,>>c12c(cc(OCCCC)cc1)C(=O)OS2(=O)=O,Ignored this reaction
23,>>S(=O)(=O)(N1CCCCC1)c2ccc(C)c(C)c2,Ignored this reaction
24,>>N1(CCCCC1)C(N)=Nc2ccc(C)c(Br)c2,Ignored this reaction
25,>>c1(C)c(ccc(C)c1N=C2CCCN2)C(=O)CCC,Ignored this reaction
26,>>N1(C(=O)C=C(C)N1C)C2CCS(=O)(=O)C2,Ignored this reaction
27,>>C1(C)(CO1)C2OC(=O)c(c(O)cc(OC)c3)c23,Ignored this reaction
28,>>c12c(cccc1)C=C(C=C(CCC)C(=O)O)OC2=O,Ignored this reaction
29,>>N1(N=C(C)CCC1=O)C2CCS(=O)(=O)C2,Ignored this reaction
30,>>c12c(ccc(cccc3)c13)c4c(CCCC4)c(Cl)n2,Ignored this reaction
31,>>N1(CCCCCCCC1)C(=O)SCc2ccccc2,Ignored this reaction
32,>>c12c(ccc(C)c1)N=C(c3ccccc3)CN(C)C2=O,Ignored this reaction
33,>>c1(cc(C)cc(C)c1)C2=C\C(=C\c3ccccc3)\C(=O)O2,Ignored this reaction
34,>>n1(ccc(C(OCCC)OCCC)n1)c2ccccc2,Ignored this reaction
35,>>[C@@]12([H])[C@@]([H])(ON(CCc(cccc3)c34)C14)C(CC5)CC25,Ignored this reaction
36,>>[C@@]12(C)C(C(C)(C=O)CC1)[C@@H]3[C@H]([C@H](C)C(=O)O3)CC2,Ignored this reaction
37,>>C1(C)(CC)CC2=C(C(C)C(=O)O2)C(=O)C1C(C)C,Ignored this reaction
38,>>[C@]12(CC[C@](C)(C(=O)CC3)[C@]3([H])C1)SC24CCC(=O)CC4,Ignored this reaction
39,>>C12(CCOC1=O)CCC(OCc3ccccc3)CC2,Ignored this reaction
40,>>c12c(ccc(cccc3)c13)nc(cccc4C)c4c2N,Ignored this reaction
41,>>N1(CCCCC1CC)C(=O)NCC(=O)OCC,Ignored this reaction
42,>>c12c(cccc1Cl)Sc(c(CCl)ccc3)c3C2=O,Ignored this reaction
43,>>S1(=O)(=O)OC(C)(C)C(O)=C1CN2CCCCC2,Ignored this reaction
44,>>C1(C)(C)CCCC(C)(C)N1C(=O)Nc2ccc(Cl)cc2,Ignored this reaction
45,>>C(/C(C)=O)(\C1=O)=C/C(C)C(C)C(C)CCCCCCCCCO1,Ignored this reaction
46,>>N1(CCC(C)CC1)C(=O)COS(=O)OCC,Ignored this reaction
47,>>C12(C(C)(CCCC(C)C1=O)CC3)C3C(C)(C)C(O4)C24C,Ignored this reaction
48,>>c12c(cccc1)C(=O)N(C)C2=CC=Nc3ccccc3,Ignored this reaction
49,>>c1(c2ccccc2)n(N)c(c3ccccc3)cc1C(C)C,Ignored this reaction
50,>>c1(sccc1\C=C/C(=O)c2ccco2)OC(C)(C)C,Ignored this reaction
51,>>C(=NC(=S)N1CCCCC1)(C(C)(C)C)c2ccccc2,Ignored this reaction
52,>>[C@]1([H])(OC(=O)O[C@]1([H])[C@]([H])(O)CO)C(SCC)SCC,Ignored this reaction
53,>>N1(CCCCCC1)NC(=O)NCCc2ccccc2,Ignored this reaction
54,>>[C@]12([H])[C@]([H])(OC(C)(C)O1)[C@H](OC[C@H]3OC(C)=O)O[C@@H]23,Ignored this reaction
55,>>C(C)(O)(CC)C#CCOCCCOC1CCC=CO1,Ignored this reaction
56,>>c1(ccc(F)cc1)C(O)CCCN2CCCC(C)C2,Ignored this reaction
57,>>c1(ccc(F)cc1)C(O)CCCN2CCC(C)CC2,Ignored this reaction
