,raw_ractions,transformed_reactions,automap
0,C(C)(O)(C(=O)O)C(C)C(=O)O>>C1(C)=C(C)C(=O)OC1=O,C(C(C(O)=O)C)(C(O)=O)(O)C>>C1(C(=O)OC(=O)C=1C)C,[C:7]([CH:7]([C:9]([OH:11])=[O:10])[CH3:8])([C:9]([OH:11])=[O:10])(O)[CH3:8]>>[C:7]1([C:9](=[O:10])[O:11][C:9](=[O:10])[C:7]=1[CH3:8])[CH3:8]
1,C(CCCCCCCCCC)(C(=O)O)C(C(=O)O)C(=O)O>>C1(CCCCCCCCCC)CC(=O)OC1=O,C(C(C(O)=O)C(O)=O)(C(O)=O)CCCCCCCCCC>>C1(C(=O)OC(=O)C1)CCCCCCCCCC,[CH:1]([CH:15]([C:19]([OH:21])=[O:20])C(O)=O)([C:12](O)=[O:13])[CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][CH2:9][CH2:10][CH3:11]>>[CH:1]1([C:12](=[O:13])[O:21][C:19](=[O:20])[CH2:15]1)[CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][CH2:9][CH2:10][CH3:11]
2,OC.C([H])(C)(CCCCCCCCCCCCCCCC)C(=O)O.S(=O)(=O)(O)c1ccc(C)cc1>>C([H])(C)(CCCCCCCCCCCCCCCC)C(=O)OC,OC.C(C(O)=O)(CCCCCCCCCCCCCCCC)(C)[H].S(c1ccc(C)cc1)(O)(=O)=O>>C(C(OC)=O)(CCCCCCCCCCCCCCCC)(C)[H],OC.[C:3]([C:22]([OH:24])=[O:23])([CH2:6][CH2:7][CH2:8][CH2:9][CH2:10][CH2:11][CH2:12][CH2:13][CH2:14][CH2:15][CH2:16][CH2:17][CH2:18][CH2:19][CH2:20][CH3:21])([CH3:5])[H].S([c:29]1ccc(C)cc1)(O)(=O)=O>>[C:3]([C:22]([O:24][CH3:29])=[O:23])([CH2:6][CH2:7][CH2:8][CH2:9][CH2:10][CH2:11][CH2:12][CH2:13][CH2:14][CH2:15][CH2:16][CH2:17][CH2:18][CH2:19][CH2:20][CH3:21])([CH3:5])[H]
3,OC.C(C)(CCCCCCCCCCCC)C(=O)O.S(=O)(=O)(O)c1ccc(C)cc1>>C(C)(CCCCCCCCCCCC)C(=O)OC,OC.C(C(O)=O)(CCCCCCCCCCCC)C.S(c1ccc(C)cc1)(O)(=O)=O>>C(C(OC)=O)(CCCCCCCCCCCC)C,OC.[CH:3]([C:17]([OH:19])=[O:18])([CH2:5][CH2:6][CH2:7][CH2:8][CH2:9][CH2:10][CH2:11][CH2:12][CH2:13][CH2:14][CH2:15][CH3:16])[CH3:4].S([c:24]1ccc(C)cc1)(O)(=O)=O>>[CH:3]([C:17]([O:19][CH3:24])=[O:18])([CH2:5][CH2:6][CH2:7][CH2:8][CH2:9][CH2:10][CH2:11][CH2:12][CH2:13][CH2:14][CH2:15][CH3:16])[CH3:4]
4,C(C)O.C(C)(=O)O.S(=O)(=O)(O)c1ccccc1>>O(CC)C(C)=O,C(O)C.C(O)(=O)C.S(c1ccccc1)(O)(=O)=O>>O(C(=O)C)CC,[CH2:1]([OH:3])[CH3:2].[C:4](O)(=[O:6])[CH3:5].S(c1ccccc1)(O)(=O)=O>>[O:3]([C:4](=[O:6])[CH3:5])[CH2:1][CH3:2]
5,C(C)(=O)Cl.[C@@H]1(CSC[C@@H]1C(=O)O)C(=O)O>>[C@@]12([H])[C@@]([H])(CSC1)C(=O)OC2=O,C(Cl)(=O)C.[C@@H]1(C(O)=O)[C@@H](C(O)=O)CSC1>>[C@]12(C(=O)OC(=O)[C@@]1(CSC2)[H])[H],C(Cl)(=O)C.[C@@H:5]1([C:13]([OH:15])=[O:14])[C@@H:9]([C:10](O)=[O:11])[CH2:8][S:7][CH2:6]1>>[C@:5]12([C:13](=[O:14])[O:15][C:10](=[O:11])[C@@:9]1([CH2:8][S:7][CH2:6]2)[H])[H]
6,OC.c1(ccccc1)CC(=O)O.c1(ccccc1)CC(=O)O>>c1(COC)ccccc1.c1(ccccc1)CC(=O)OC,OC.c1(CC(O)=O)ccccc1.c1(CC(O)=O)ccccc1>>c1(ccccc1)COC.c1(CC(OC)=O)ccccc1,OC.[c:3]1([CH2:9]C(O)=O)[cH:8][cH:7][cH:6][cH:5][cH:4]1.[c:13]1([CH2:19][C:20]([OH:22])=[O:21])[cH:18][cH:17][cH:16][cH:15][cH:14]1>>[c:3]1([cH:4][cH:5][cH:6][cH:7][cH:8]1)[CH2:9][O:22][CH3:20].[c:13]1([CH2:19][C:20]([O:22][CH3:3])=[O:21])[cH:18][cH:17][cH:16][cH:15][cH:14]1
7,C1([H])(CCOC(=O)C1CO)[C@]([H])(C=O)CC.C(C)(=O)O>>C12([H])C([H])(CCOC1=O)[C@@H](CC)C(=O)OC2,C1([C@@](CC)(C=O)[H])(C(CO)C(=O)OCC1)[H].C(O)(=O)C>>C12(COC(=O)[C@H](CC)C1(CCOC2=O)[H])[H],[C:1]1([C@@:11]([CH2:15][CH3:16])([CH:13]=[O:14])[H])([CH:8]([CH2:9][OH:10])[C:6](=[O:7])[O:5][CH2:4][CH2:3]1)[H].C(O)(=O)C>>[C:8]12([CH2:9][O:10][C:13](=[O:14])[C@H:11]([CH2:15][CH3:16])[C:1]1([CH2:3][CH2:4][O:5][C:6]2=[O:7])[H])[H]
8,Cl[H].c1(ccccc1)C(=O)CC#N.c1(C=O)ccccc1O.C(C)(=O)O>>C1(=Cc2c(cccc2)OC1=O)C(=O)c3ccccc3,Cl[H].c1(C(CC#N)=O)ccccc1.c1(c(O)cccc1)C=O.C(O)(=O)C>>C1(C(c2ccccc2)=O)C(=O)Oc2ccccc2C=1,Cl[H].[c:3]1([C:9]([CH2:11][C:12]#N)=[O:10])[cH:8][cH:7][cH:6][cH:5][cH:4]1.[c:14]1([c:21]([OH:22])[cH:20][cH:19][cH:18][cH:17]1)[CH:15]=O.C(O)(=[O:25])C>>[C:11]1([C:9]([c:3]2[cH:8][cH:7][cH:6][cH:5][cH:4]2)=[O:10])[C:12](=[O:25])[O:22][c:21]2[cH:20][cH:19][cH:18][cH:17][c:14]2[CH:15]=1
9,c12c(cccc1)NC(=O)C=C2O.C(C)(=O)O.P(=O)(Cl)(Cl)Cl>>c12c(cccc1)nc(O)cc2OC(C)=O,c12C(O)=CC(=O)Nc1cccc2.C(O)(=O)C.P(Cl)(Cl)(Cl)=O>>c12c(OC(=O)C)cc(O)nc1cccc2,[c:1]12[C:11]([OH:12])=[CH:10][C:8](=O)[NH:7][c:2]1[cH:3][cH:4][cH:5][cH:6]2.[C:13](O)(=[O:15])[CH3:14].P(Cl)(Cl)(Cl)=[O:18]>>[c:1]12[c:11]([O:12][C:13](=[O:15])[CH3:14])[cH:10][c:8]([OH:18])[n:7][c:2]1[cH:3][cH:4][cH:5][cH:6]2
