,raw_ractions,transformed_reactions,automap
0,C(C)(C)(C)c1ccc(B(O)O)cc1.c1(C=O)ccccc1Br>>C(C)(C)(C)c1ccc(c2ccccc2C=O)cc1,C(c1ccc(B(O)O)cc1)(C)(C)C.c1(c(Br)cccc1)C=O>>C(c1ccc(-c2c(C=O)cccc2)cc1)(C)(C)C,[C:1]([c:5]1[cH:13][cH:12][c:8](B(O)O)[cH:7][cH:6]1)([CH3:4])([CH3:3])[CH3:2].[c:14]1([c:21](Br)[cH:20][cH:19][cH:18][cH:17]1)[CH:15]=[O:16]>>[C:1]([c:5]1[cH:13][cH:12][c:8](-[c:17]2[c:14]([CH:15]=[O:16])[cH:21][cH:20][cH:19][cH:18]2)[cH:7][cH:6]1)([CH3:4])([CH3:3])[CH3:2]
1,c1(ccccc1C)B(O)O.c1(ccc(Br)cc1)C(C)=O>>c1(ccccc1C)c2ccc(C(C)=O)cc2,c1(B(O)O)c(C)cccc1.c1(C(=O)C)ccc(Br)cc1>>c1(-c2ccc(C(=O)C)cc2)c(C)cccc1,[c:1]1(B(O)O)[c:6]([CH3:7])[cH:5][cH:4][cH:3][cH:2]1.[c:11]1([C:18](=[O:20])[CH3:19])[cH:17][cH:16][c:14](Br)[cH:13][cH:12]1>>[c:1]1(-[c:14]2[cH:16][cH:17][c:11]([C:18](=[O:20])[CH3:19])[cH:12][cH:13]2)[c:6]([CH3:7])[cH:5][cH:4][cH:3][cH:2]1
2,c1(ccc(OC)cc1)B(O)O.c1(C=O)ccccc1Br>>c1(ccccc1C=O)c2ccc(OC)cc2,c1(B(O)O)ccc(OC)cc1.c1(c(Br)cccc1)C=O>>c1(-c2ccc(OC)cc2)c(C=O)cccc1,[c:1]1(B(O)O)[cH:8][cH:7][c:4]([O:5][CH3:6])[cH:3][cH:2]1.[c:12]1([c:19](Br)[cH:18][cH:17][cH:16][cH:15]1)[CH:13]=[O:14]>>[c:15]1(-[c:1]2[cH:8][cH:7][c:4]([O:5][CH3:6])[cH:3][cH:2]2)[c:12]([CH:13]=[O:14])[cH:19][cH:18][cH:17][cH:16]1
3,c1(ccc(Br)nc1)NC(=O)NCCCCN2CCCCC2.Cl.c1(ccc(F)cc1)B(O)O>>c1(ccc(NC(=O)NCCCCN2CCCCC2)cn1)c3ccc(F)cc3,c1(NC(NCCCCN2CCCCC2)=O)cnc(Br)cc1.Cl.c1(B(O)O)ccc(F)cc1>>c1(-c2ccc(F)cc2)ncc(NC(NCCCCN2CCCCC2)=O)cc1,[c:1]1([NH:8][C:9]([NH:11][CH2:12][CH2:13][CH2:14][CH2:15][N:16]2[CH2:21][CH2:20][CH2:19][CH2:18][CH2:17]2)=[O:10])[cH:7][n:6][c:4](Br)[cH:3][cH:2]1.Cl.[c:23]1(B(O)O)[cH:29][cH:28][c:26]([F:27])[cH:25][cH:24]1>>[c:4]1(-[c:23]2[cH:29][cH:28][c:26]([F:27])[cH:25][cH:24]2)[n:6][cH:7][c:1]([NH:8][C:9]([NH:11][CH2:12][CH2:13][CH2:14][CH2:15][N:16]2[CH2:21][CH2:20][CH2:19][CH2:18][CH2:17]2)=[O:10])[cH:2][cH:3]1
4,c12c(cccc1)cccc2B(O)O.c1(C=O)ccccc1Br>>c1(cccc(cccc2)c12)c3ccccc3C=O,c12c(B(O)O)cccc1cccc2.c1(c(Br)cccc1)C=O>>c1(-c2c(C=O)cccc2)c2ccccc2ccc1,[c:1]12[c:10](B(O)O)[cH:9][cH:8][cH:7][c:2]1[cH:3][cH:4][cH:5][cH:6]2.[c:14]1([c:21](Br)[cH:20][cH:19][cH:18][cH:17]1)[CH:15]=[O:16]>>[c:10]1(-[c:17]2[c:14]([CH:15]=[O:16])[cH:21][cH:20][cH:19][cH:18]2)[c:1]2[cH:6][cH:5][cH:4][cH:3][c:2]2[cH:7][cH:8][cH:9]1
5,c1(ccccc1Br)N(=O)=O.c12c(cccc1)cccc2B(O)O>>c1(cccc(cccc2)c12)c3ccccc3N(=O)=O,c1(N(=O)=O)c(Br)cccc1.c12c(B(O)O)cccc1cccc2>>c1(-c2c(N(=O)=O)cccc2)c2ccccc2ccc1,[c:1]1([N:8](=[O:10])=[O:9])[c:6](Br)[cH:5][cH:4][cH:3][cH:2]1.[c:11]12[c:20](B(O)O)[cH:19][cH:18][cH:17][c:12]1[cH:13][cH:14][cH:15][cH:16]2>>[c:13]1(-[c:6]2[c:1]([N:8](=[O:10])=[O:9])[cH:2][cH:3][cH:4][cH:5]2)[c:12]2[cH:17][cH:18][cH:19][cH:20][c:11]2[cH:16][cH:15][cH:14]1
6,c1(Br)ccccn1.c1(F)cc(F)ccc1B(O)O>>c1(ccc(F)cc1F)c2ccccn2,c1(ncccc1)Br.c1(c(B(O)O)ccc(F)c1)F>>c1(-c2ncccc2)c(F)cc(F)cc1,[c:1]1([n:7][cH:6][cH:5][cH:4][cH:3]1)Br.[c:8]1([c:15](B(O)O)[cH:14][cH:13][c:11]([F:12])[cH:10]1)[F:9]>>[c:13]1(-[c:1]2[n:7][cH:6][cH:5][cH:4][cH:3]2)[c:11]([F:12])[cH:10][c:8]([F:9])[cH:15][cH:14]1
7,N1(CCN(Cc2ccccc2Br)CC1)c3ccc(C(=O)OCC)cc3.c1(ccc(Cl)cc1)B(O)O>>c1(ccccc1CN2CCN(c3ccc(C(=O)OCC)cc3)CC2)c4ccc(Cl)cc4,N1(c2ccc(C(OCC)=O)cc2)CCN(Cc2c(Br)cccc2)CC1.c1(B(O)O)ccc(Cl)cc1>>c1(-c2ccc(Cl)cc2)c(CN2CCN(c3ccc(C(OCC)=O)cc3)CC2)cccc1,[N:1]1([c:15]2[cH:25][cH:24][c:18]([C:19]([O:21][CH2:22][CH3:23])=[O:20])[cH:17][cH:16]2)[CH2:14][CH2:13][N:4]([CH2:5][c:6]2[c:11](Br)[cH:10][cH:9][cH:8][cH:7]2)[CH2:3][CH2:2]1.[c:26]1(B(O)O)[cH:32][cH:31][c:29]([Cl:30])[cH:28][cH:27]1>>[c:11]1(-[c:26]2[cH:32][cH:31][c:29]([Cl:30])[cH:28][cH:27]2)[c:6]([CH2:5][N:4]2[CH2:13][CH2:14][N:1]([c:15]3[cH:25][cH:24][c:18]([C:19]([O:21][CH2:22][CH3:23])=[O:20])[cH:17][cH:16]3)[CH2:2][CH2:3]2)[cH:7][cH:8][cH:9][cH:10]1
8,c12c(cccc1B(O)O)c3c(cccc3)o2.[Si](C)(C)(C)c1ccc(Br)cc1>>c12c(cccc1c3ccc([Si](C)(C)C)cc3)c4c(cccc4)o2,c12oc3ccccc3c1cccc2B(O)O.[Si](c1ccc(Br)cc1)(C)(C)C>>c12oc3ccccc3c1cccc2-c1ccc([Si](C)(C)C)cc1,[c:1]12[o:16][c:11]3[cH:12][cH:13][cH:14][cH:15][c:10]3[c:2]1[cH:3][cH:4][cH:5][c:6]2B(O)O.[Si:17]([c:21]1[cH:27][cH:26][c:24](Br)[cH:23][cH:22]1)([CH3:20])([CH3:19])[CH3:18]>>[c:1]12[o:16][c:11]3[cH:12][cH:13][cH:14][cH:15][c:10]3[c:2]1[cH:3][cH:4][cH:5][c:6]2-[c:24]1[cH:26][cH:27][c:21]([Si:17]([CH3:20])([CH3:19])[CH3:18])[cH:22][cH:23]1
9,c1(Br)ccccn1.c1(cccc(O)c1)B(O)O>>c1(cccc(O)c1)c2ccccn2,c1(ncccc1)Br.c1(B(O)O)cc(O)ccc1>>c1(-c2ncccc2)cc(O)ccc1,[c:1]1([n:7][cH:6][cH:5][cH:4][cH:3]1)Br.[c:8]1(B(O)O)[cH:14][c:12]([OH:13])[cH:11][cH:10][cH:9]1>>[c:8]1(-[c:1]2[n:7][cH:6][cH:5][cH:4][cH:3]2)[cH:14][c:12]([OH:13])[cH:11][cH:10][cH:9]1
