,raw_ractions,transformed_reactions,automap
0,c1(OC)ccccc1OC.C(=O)(Cl)CC>>c1(ccc(OC)c(OC)c1)C(=O)CC,c1(c(OC)cccc1)OC.C(CC)(Cl)=O>>c1(C(CC)=O)cc(OC)c(OC)cc1,[c:1]1([c:8]([O:9][CH3:10])[cH:7][cH:6][cH:5][cH:4]1)[O:2][CH3:3].[C:11]([CH2:14][CH3:15])(Cl)=[O:12]>>[c:6]1([C:11]([CH2:14][CH3:15])=[O:12])[cH:7][c:8]([O:9][CH3:10])[c:1]([O:2][CH3:3])[cH:4][cH:5]1
1,c1(ccc(Cl)cc1)C(=O)Cl.c1(OC)ccccc1>>C(=O)(c1ccc(Cl)cc1)c2ccc(OC)cc2,c1(C(Cl)=O)ccc(Cl)cc1.c1(ccccc1)OC>>C(c1ccc(OC)cc1)(c1ccc(Cl)cc1)=O,[c:1]1([C:8](Cl)=[O:9])[cH:7][cH:6][c:4]([Cl:5])[cH:3][cH:2]1.[c:11]1([cH:18][cH:17][cH:16][cH:15][cH:14]1)[O:12][CH3:13]>>[C:8]([c:16]1[cH:17][cH:18][c:11]([O:12][CH3:13])[cH:14][cH:15]1)([c:1]1[cH:7][cH:6][c:4]([Cl:5])[cH:3][cH:2]1)=[O:9]
2,C(=O)(OCC)C(=O)Cl.c1(OC)cccc(OC)c1>>c1(ccc(OC)cc1OC)C(=O)C(=O)OCC,C(C(Cl)=O)(OCC)=O.c1(cc(OC)ccc1)OC>>c1(C(C(OCC)=O)=O)c(OC)cc(OC)cc1,[C:1]([C:6](Cl)=[O:7])([O:3][CH2:4][CH3:5])=[O:2].[c:9]1([cH:18][c:15]([O:16][CH3:17])[cH:14][cH:13][cH:12]1)[O:10][CH3:11]>>[c:14]1([C:6]([C:1]([O:3][CH2:4][CH3:5])=[O:2])=[O:7])[c:15]([O:16][CH3:17])[cH:18][c:9]([O:10][CH3:11])[cH:12][cH:13]1
3,c1(OC)cc(OC)cc(OC)c1.C(C)(=O)Cl>>c1(C(C)=O)c(OC)cc(OC)cc1OC,c1(cc(OC)cc(OC)c1)OC.C(Cl)(=O)C>>c1(c(OC)cc(OC)cc1OC)C(=O)C,[c:1]1([cH:12][c:9]([O:10][CH3:11])[cH:8][c:5]([O:6][CH3:7])[cH:4]1)[O:2][CH3:3].[C:13](Cl)(=[O:15])[CH3:14]>>[c:12]1([c:1]([O:2][CH3:3])[cH:4][c:5]([O:6][CH3:7])[cH:8][c:9]1[O:10][CH3:11])[C:13](=[O:15])[CH3:14]
4,c1(ccc(C)cc1)C(=O)Cl.c1(OC)ccccc1>>C(=O)(c1ccc(C)cc1)c2ccc(OC)cc2,c1(C(Cl)=O)ccc(C)cc1.c1(ccccc1)OC>>C(c1ccc(OC)cc1)(c1ccc(C)cc1)=O,[c:1]1([C:8](Cl)=[O:9])[cH:7][cH:6][c:4]([CH3:5])[cH:3][cH:2]1.[c:11]1([cH:18][cH:17][cH:16][cH:15][cH:14]1)[O:12][CH3:13]>>[C:8]([c:16]1[cH:17][cH:18][c:11]([O:12][CH3:13])[cH:14][cH:15]1)([c:1]1[cH:7][cH:6][c:4]([CH3:5])[cH:3][cH:2]1)=[O:9]
5,c1(OC)cc(O)cc(OC)c1.C(C)(=O)Cl>>c1(C(C)=O)c(O)cc(OC)cc1OC,c1(cc(OC)cc(O)c1)OC.C(Cl)(=O)C>>c1(c(OC)cc(OC)cc1O)C(=O)C,[c:1]1([cH:11][c:8]([O:9][CH3:10])[cH:7][c:5]([OH:6])[cH:4]1)[O:2][CH3:3].[C:12](Cl)(=[O:14])[CH3:13]>>[c:4]1([c:1]([O:2][CH3:3])[cH:11][c:8]([O:9][CH3:10])[cH:7][c:5]1[OH:6])[C:12](=[O:14])[CH3:13]
6,c1(OC)ccccc1OC.C(=O)(Cl)CCCCl>>c1(ccc(OC)c(OC)c1)C(=O)CCCCl,c1(c(OC)cccc1)OC.C(CCCCl)(Cl)=O>>c1(C(CCCCl)=O)cc(OC)c(OC)cc1,[c:1]1([c:8]([O:9][CH3:10])[cH:7][cH:6][cH:5][cH:4]1)[O:2][CH3:3].[C:11]([CH2:14][CH2:15][CH2:16][Cl:17])(Cl)=[O:12]>>[c:6]1([C:11]([CH2:14][CH2:15][CH2:16][Cl:17])=[O:12])[cH:7][c:8]([O:9][CH3:10])[c:1]([O:2][CH3:3])[cH:4][cH:5]1
7,c1(OC)ccccc1.c1(ccccc1Br)C(=O)Cl>>c1(ccccc1Br)C(=O)c2ccc(OC)cc2,c1(ccccc1)OC.c1(C(Cl)=O)c(Br)cccc1>>c1(C(c2ccc(OC)cc2)=O)c(Br)cccc1,[c:1]1([cH:8][cH:7][cH:6][cH:5][cH:4]1)[O:2][CH3:3].[c:9]1([C:16](Cl)=[O:17])[c:14]([Br:15])[cH:13][cH:12][cH:11][cH:10]1>>[c:9]1([C:16]([c:6]2[cH:7][cH:8][c:1]([O:2][CH3:3])[cH:4][cH:5]2)=[O:17])[c:14]([Br:15])[cH:13][cH:12][cH:11][cH:10]1
8,c1(OC)cc(OC)cc(OC)c1.c1(ccccc1)C(=O)Cl>>c1(c(OC)cc(OC)cc1OC)C(=O)c2ccccc2,c1(cc(OC)cc(OC)c1)OC.c1(C(Cl)=O)ccccc1>>c1(C(c2ccccc2)=O)c(OC)cc(OC)cc1OC,[c:1]1([cH:12][c:9]([O:10][CH3:11])[cH:8][c:5]([O:6][CH3:7])[cH:4]1)[O:2][CH3:3].[c:13]1([C:19](Cl)=[O:20])[cH:18][cH:17][cH:16][cH:15][cH:14]1>>[c:12]1([C:19]([c:13]2[cH:18][cH:17][cH:16][cH:15][cH:14]2)=[O:20])[c:1]([O:2][CH3:3])[cH:4][c:5]([O:6][CH3:7])[cH:8][c:9]1[O:10][CH3:11]
9,c1(OC)ccccc1C.c1(ccccc1)C(=O)Cl>>c1(ccc(OC)c(C)c1)C(=O)c2ccccc2,c1(c(C)cccc1)OC.c1(C(Cl)=O)ccccc1>>c1(C(c2ccccc2)=O)cc(C)c(OC)cc1,[c:1]1([c:8]([CH3:9])[cH:7][cH:6][cH:5][cH:4]1)[O:2][CH3:3].[c:10]1([C:16](Cl)=[O:17])[cH:15][cH:14][cH:13][cH:12][cH:11]1>>[c:6]1([C:16]([c:10]2[cH:15][cH:14][cH:13][cH:12][cH:11]2)=[O:17])[cH:7][c:8]([CH3:9])[c:1]([O:2][CH3:3])[cH:4][cH:5]1
